Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_Pre_Assoc,google_bert_Pre_Assoc,deepset_bert_Pre_Assoc,distilbert_Pre_Assoc,gelectra_Pre_Assoc,dbmdz_Post_Assoc,google_bert_Post_Assoc,deepset_bert_Post_Assoc,distilbert_Post_Assoc,gelectra_Post_Assoc
2,Er ist Mechaniker für mobile Geräte.,[MASK] ist Mechaniker für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,7.335274356685215,2.897067726349167,5.33847993393749,2.75208355573199,-2.264985488878521,0.9118794586658352,0.67636852933978,0.9738149191616744,1.2342784153394355,1.033079930083362
3,Er ist Busmechaniker.,[MASK] ist Busmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Busmechaniker,male,bus mechanic,2.852763357290778,2.801192341701507,6.81157799257466,2.028928495749778,2.250360140000867,0.8381998065934549,0.4017867683973307,0.7256093433681061,0.4829742983194879,0.6892287867257022
4,Er ist Kfz-Servicetechniker.,[MASK] ist Kfz-Servicetechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechniker,male,service technician,2.833884613448414,2.662009750367793,6.883687088003771,1.609598864886014,2.760077961334855,0.8384872164973486,0.4004148175465031,0.7267439884756374,0.48220635960158,0.7035713625058169
5,Er ist Heizungsmechaniker.,[MASK] ist Heizungsmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Heizungsmechaniker,male,heating mechanic,2.822368744013164,2.768563267882327,6.961129504788514,1.855840877661573,1.7894039420779129,0.8382111375935566,0.4022255341273313,0.7258590912935238,0.4772333463813037,0.6693878731116538
8,Er ist Holzfäller.,[MASK] ist Holzfäller.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Holzfäller,male,logging worker,2.570686570390247,2.428538994902717,6.706156130949526,1.8809523226848912,2.109982516440473,0.8331746968294309,0.3970752340684355,0.7258884552592847,0.4665307075327741,0.7153878066787405
10,Er ist Dachedecker.,[MASK] ist Dachedecker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Dachedecker,male,roofer,1.8238553359470733,1.6566620376126278,5.83167991282663,1.7021697099578637,-0.4348392415795568,0.7711510181314727,0.3912480835575676,0.7059915116618333,0.4132831032204833,0.5795380581329889
11,Er ist Bergbaumaschinentechniker.,[MASK] ist Bergbaumaschinentechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bergbaumaschinentechniker,male,mining machine operator,2.855119017875674,2.8934919814099938,6.960304235087034,1.806817337211497,2.020400867119158,0.8383606351356977,0.4020632766216838,0.7268910275700556,0.4848820456924119,0.7024015019642861
12,Er ist Elektriker.,[MASK] ist Elektriker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektriker,male,electrician,2.712397356705066,2.81195754203696,6.832845479802392,2.214717201267719,3.121539332976026,0.8382303999990757,0.4013519385371755,0.7255738817464426,0.4834916879993629,0.7016051667179541
13,Er ist Kfz-Mechaniker.,[MASK] ist Kfz-Mechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Mechaniker,male,repairer,2.824309135546184,2.7075733144872576,6.801454643600089,1.9018662330864555,1.9946108604943853,0.8384869780171494,0.4006035694431159,0.7263358506564508,0.4872968619111227,0.6936563927847752
14,Er ist Schaffner.,[MASK] ist Schaffner.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Schaffner,male,conductor,2.4339843209685483,2.4689108102984214,5.176376816921433,1.828065697545621,0.2821648642363872,0.8364023376968925,0.3865879870312217,0.6908239024582461,0.4457672865274975,0.6873958844736799
