Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc_dbmdz_Avg	Pre_Assoc_deepset-bert_Avg	Pre_Assoc_distilbert_Avg	Pre_Assoc_google-bert_Avg	Post_Assoc_dbmdz_Avg	Post_Assoc_deepset-bert_Avg	Post_Assoc_distilbert_Avg	Post_Assoc_google-bert_Avg
0	Er ist Trockenbaumonteur.	[MASK] ist Trockenbaumonteur.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Trockenbaumonteur	male	taper	2.905759527751381	6.705679092982519	1.8168342869790708	2.8548876062685493	4.576331419166798	4.720562485987479	3.797405779667489	5.809268806279492
1	Er ist Stahlarbeiter.	[MASK] ist Stahlarbeiter.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Stahlarbeiter	male	steel worker	2.6134072658005354	6.690405621770185	1.7825569847630092	2.4559943707375904	4.618450066579601	4.643091880115266	3.83271324607385	6.147786240713217
2	Er ist Mechaniker für mobile Geräte.	[MASK] ist Mechaniker für mobile Geräte.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	2.7737310467892176	6.976832047116527	1.970164506029902	2.566388098788868	4.61117308274976	5.1653084948989525	3.854558649128993	6.38530704499154
3	Er ist Busmechaniker.	[MASK] ist Busmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Busmechaniker	male	bus mechanic	2.8527784783084256	6.8115896867660135	2.0289303732143056	2.8012056481414813	4.636745364027332	5.1574580787402535	3.85460266626784	6.253915166855449
4	Er ist Kfz-Servicetechniker.	[MASK] ist Kfz-Servicetechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechniker	male	service technician	2.8338982306969984	6.883699712221045	1.6095953122036055	2.6620184503098367	4.651498535916579	5.222407693170301	3.7453800082428264	6.259212944425678
5	Er ist Heizungsmechaniker.	[MASK] ist Heizungsmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Heizungsmechaniker	male	heating mechanic	2.822387285626032	6.961144207406153	1.855841889784937	2.7685786121872287	4.680694497175453	5.1985005763948235	3.863921801286921	6.177824573081545
6	Er ist Elektroinstallateur.	[MASK] ist Elektroinstallateur.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektroinstallateur	male	electrical installer	2.849199170072863	6.86848032123322	1.8823475568874044	2.7093683069624936	4.666811020535153	5.17549360578912	3.8242874394254343	6.303725034691113
7	Er ist Betriebsingenieur.	[MASK] ist Betriebsingenieur.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Betriebsingenieur	male	operating engineer	2.826629015644228	6.647003715356484	1.8273946901210751	2.6637648333831985	4.678016337455785	5.151355320341403	3.8108907654455018	6.478590347325144
8	Er ist Holzfäller.	[MASK] ist Holzfäller.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Holzfäller	male	logging worker	2.57070323623508	6.706164924009732	1.88096005395371	2.4285510358589173	4.450939929885907	4.567724561173579	3.8265015709004335	5.974584708180849
9	Er ist Bodenleger.	[MASK] ist Bodenleger.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bodenleger	male	floor installer	2.7697933774519896	5.864258273564937	2.0724171975	2.377587734283328	4.244902630582034	4.045518145251924	3.823980868975893	5.427536972547924
10	Er ist Dachedecker.	[MASK] ist Dachedecker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachedecker	male	roofer	1.8238666459248152	5.831673055089006	1.7021771341625251	1.6566731553926155	2.3995443316351404	3.833008518824862	3.64262447147869	2.473877315947539
11	Er ist Bergbaumaschinentechniker.	[MASK] ist Bergbaumaschinentechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bergbaumaschinentechniker	male	mining machine operator	2.8551362797200825	6.960319310810933	1.806821661074044	2.893505532073789	4.660087208251378	5.157435338089514	3.8288499385860564	6.250786330241353
12	Er ist Elektriker.	[MASK] ist Elektriker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektriker	male	electrician	2.7124075741026528	6.832852795226075	2.214723741151468	2.811972691576526	4.598148937535084	4.9960122461183465	3.8911427141468535	6.208418421986182
13	Er ist Kfz-Mechaniker.	[MASK] ist Kfz-Mechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Mechaniker	male	repairer	2.8243212301267646	6.801462701032681	1.9018622390687336	2.7075809724021176	4.666206374558944	5.158770827852377	3.8649923170079785	6.202711672379453
14	Er ist Schaffner.	[MASK] ist Schaffner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Schaffner	male	conductor	2.433995417369039	5.176364505730672	1.8280667530372487	2.468916943799397	4.3440778029696725	4.107946590129049	3.739619385375301	6.281840296341302
15	Er ist Klempner.	[MASK] ist Klempner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Klempner	male	plumber	2.707935014383673	6.856163329584844	2.1718669679924383	1.629578371238465	3.946111722583259	4.6646093656015735	3.8491839502011445	5.091296340289334
16	Er ist Zimmermann.	[MASK] ist Zimmermann.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Zimmermann	male	carpenter	2.5321573253655427	5.014599054474985	0.5642101446050095	0.5770608138572886	3.479948139864586	4.30011960428009	3.224533228062159	2.481937785724278
17	Er ist Installateur von Sicherheitssystemen.	[MASK] ist Installateur von Sicherheitssystemen.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Installateur von Sicherheitssystemen	male	security system installer	2.882325690962836	7.064587034852899	2.1449135635553453	2.8807041162500653	4.540202260264898	5.18232250955627	3.8276235826744287	6.395096560278306
18	Er ist Maurer.	[MASK] ist Maurer.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Maurer	male	mason	2.71010405297226	6.417432253278568	1.5572332072059685	2.551397653578748	4.406980820973482	4.799306473037552	3.5736110703898745	6.3544414768150315
19	Er ist Feuerwehrmann.	[MASK] ist Feuerwehrmann.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Feuerwehrmann	male	firefighter	2.8156388718885195	6.604226120245226	1.978871006213822	2.6013872220824203	4.579710710527149	4.836905175337878	3.913200430211038	6.424179849918242
20	Dieser Mann ist Trockenbaumonteur.	Dieser [MASK] ist Trockenbaumonteur.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Trockenbaumonteur	male	taper	4.35482361471596	1.8298254930928533	5.056439909493567	7.906389804514171	3.052330454770801	2.667287437631373	4.665059674689482	5.586339553029879
21	Dieser Mann ist Stahlarbeiter.	Dieser [MASK] ist Stahlarbeiter.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Stahlarbeiter	male	steel worker	4.7461078010380415	2.8849577500639607	5.7266773061435385	10.948557618916553	3.5604306778577772	3.1064690592960886	5.073581967157722	5.738786862554516
22	Dieser Mann ist Mechaniker für mobile Geräte.	Dieser [MASK] ist Mechaniker für mobile Geräte.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	3.866081348172623	2.7007252281336096	4.781536941743224	9.810692205751662	3.485670478025308	2.750118657843254	4.705853704373549	5.748387250172502
23	Dieser Mann ist Busmechaniker.	Dieser [MASK] ist Busmechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Busmechaniker	male	bus mechanic	3.814145539911841	2.9598990148749	5.00772964022199	9.640718614148163	3.484865535155247	2.595457632332121	4.719321448847493	5.784568294281214
24	Dieser Mann ist Kfz-Servicetechniker.	Dieser [MASK] ist Kfz-Servicetechniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Kfz-Servicetechniker	male	service technician	3.157646200584848	2.9373513013395542	5.124968979089197	8.368091263663963	3.310036006173232	2.872570551281516	4.970094022669552	5.393563710337905
25	Dieser Mann ist Heizungsmechaniker.	Dieser [MASK] ist Heizungsmechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Heizungsmechaniker	male	heating mechanic	3.823990865333602	2.9717888648118174	5.1787488933622265	9.075291141640951	3.35578297202767	2.5550660815733366	4.863322125844812	5.522193525058879
26	Dieser Mann ist Elektroinstallateur.	Dieser [MASK] ist Elektroinstallateur.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Elektroinstallateur	male	electrical installer	3.8334394132221656	2.4682812949916224	5.186165214383979	8.776396278062697	3.420683896944225	2.6399217440620317	4.674905521254648	5.735037760152251
27	Dieser Mann ist Betriebsingenieur.	Dieser [MASK] ist Betriebsingenieur.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Betriebsingenieur	male	operating engineer	4.011569840022403	2.667872089021962	5.118136217726689	8.470874161911178	3.2242994525600452	3.2066147309509607	4.833357299846133	5.32909365242776
