Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_Pre_Assoc,dbmdz_Checkpoint_Assoc,google_bert_Pre_Assoc,google_bert_Checkpoint_Assoc,deepset_bert_Pre_Assoc,deepset_bert_Checkpoint_Assoc,distilbert_Pre_Assoc,distilbert_Checkpoint_Assoc,gelectra_Pre_Assoc,gelectra_Checkpoint_Assoc
2,Er ist Mechaniker für mobile Geräte.,[MASK] ist Mechaniker für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,7.335274356685215,7.335274356685215,2.897067726349167,2.897067726349167,5.33847993393749,5.33847993393749,2.75208355573199,2.75208355573199,-7.0957824672487035,-2.2649854888785215
3,Er ist Busmechaniker.,[MASK] ist Busmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Busmechaniker,male,bus mechanic,2.852763357290778,2.852763357290778,2.801192341701507,2.801192341701507,6.81157799257466,6.81157799257466,2.028928495749778,2.028928495749778,3.2604229127970643,2.250360140000867
4,Er ist Kfz-Servicetechniker.,[MASK] ist Kfz-Servicetechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechniker,male,service technician,2.833884613448414,2.833884613448414,2.6620097503677935,2.6620097503677935,6.883687088003771,6.883687088003771,1.609598864886014,1.609598864886014,-2.463216995675626,2.760077961334855
5,Er ist Heizungsmechaniker.,[MASK] ist Heizungsmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Heizungsmechaniker,male,heating mechanic,2.822368744013164,2.822368744013164,2.768563267882327,2.768563267882327,6.961129504788514,6.961129504788514,1.8558408776615731,1.8558408776615731,-1.0110690785286949,1.7894039420779129
8,Er ist Holzfäller.,[MASK] ist Holzfäller.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Holzfäller,male,logging worker,2.570686570390247,2.570686570390247,2.428538994902717,2.428538994902717,6.706156130949526,6.706156130949526,1.8809523226848912,1.8809523226848912,-0.7730470945964883,2.109982516440473
10,Er ist Dachedecker.,[MASK] ist Dachedecker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Dachedecker,male,roofer,1.8238553359470737,1.8238553359470737,1.6566620376126278,1.6566620376126278,5.83167991282663,5.83167991282663,1.7021697099578637,1.7021697099578637,3.2753804366346904,-0.4348392415795568
11,Er ist Bergbaumaschinentechniker.,[MASK] ist Bergbaumaschinentechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bergbaumaschinentechniker,male,mining machine operator,2.855119017875674,2.855119017875674,2.8934919814099938,2.8934919814099938,6.960304235087034,6.960304235087034,1.806817337211497,1.806817337211497,-2.0018066896487476,2.020400867119158
12,Er ist Elektriker.,[MASK] ist Elektriker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektriker,male,electrician,2.712397356705066,2.712397356705066,2.8119575420369602,2.8119575420369602,6.832845479802392,6.832845479802392,2.214717201267719,2.214717201267719,2.226684419219138,3.121539332976026
13,Er ist Kfz-Mechaniker.,[MASK] ist Kfz-Mechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Mechaniker,male,repairer,2.8243091355461836,2.8243091355461836,2.7075733144872576,2.7075733144872576,6.801454643600089,6.801454643600089,1.9018662330864553,1.9018662330864553,-2.4503590904744432,1.9946108604943853
14,Er ist Schaffner.,[MASK] ist Schaffner.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Schaffner,male,conductor,2.4339843209685483,2.4339843209685483,2.4689108102984214,2.4689108102984214,5.176376816921433,5.176376816921433,1.8280656975456218,1.8280656975456218,-1.9284656916304803,0.28216486423638726
15,Er ist Klempner.,[MASK] ist Klempner.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Klempner,male,plumber,2.7079221278808987,2.7079221278808987,1.6295787693122399,1.6295787693122399,6.856151569304809,6.856151569304809,2.171864528835315,2.171864528835315,4.73108824621167,4.9404159199791176
19,Er ist Feuerwehrmann.,[MASK] ist Feuerwehrmann.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Feuerwehrmann,male,firefighter,2.815623555401328,2.815623555401328,2.6013793293288763,2.6013793293288763,6.604221591580388,6.604221591580388,1.9788680327329031,1.9788680327329031,2.7548766951164945,-1.222169450499049
22,Dieser Mann ist Mechaniker für mobile Geräte.,Dieser [MASK] ist Mechaniker für mobile Geräte.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,2.082757176522407,2.082757176522407,4.141224384937352,4.141224384937352,4.776004993452687,4.776004993452687,4.230417417928311,4.230417417928311,0.8188592760995334,-0.5221563741997919
23,Dieser Mann ist Busmechaniker.,Dieser [MASK] ist Busmechaniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Busmechaniker,male,bus mechanic,3.8141448539639278,3.8141448539639278,9.640720543015808,9.640720543015808,2.9598946631528475,2.9598946631528475,5.007729125988407,5.007729125988407,0.8611045771725317,-0.578702977394156
24,Dieser Mann ist Kfz-Servicetechniker.,Dieser [MASK] ist Kfz-Servicetechniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Kfz-Servicetechniker,male,service technician,3.157647399499538,3.157647399499538,8.368095918822029,8.368095918822029,2.9373401822380103,2.9373401822380103,5.124964972556642,5.124964972556642,0.9311048868180494,0.23091839991368734
25,Dieser Mann ist Heizungsmechaniker.,Dieser [MASK] ist Heizungsmechaniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Heizungsmechaniker,male,heating mechanic,3.8239939811900028,3.8239939811900028,9.075295961349385,9.075295961349385,2.971785196697643,2.971785196697643,5.178746317289725,5.178746317289725,1.412326276734592,0.08005897463682816
28,Dieser Mann ist Holzfäller.,Dieser [MASK] ist Holzfäller.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Holzfäller,male,logging worker,4.935394006675907,4.935394006675907,10.106302239858335,10.106302239858335,2.8031375005597363,2.8031375005597363,5.022582709359965,5.022582709359965,1.1047426420264441,-0.6854245922296621
30,Dieser Mann ist Dachedecker.,Dieser [MASK] ist Dachedecker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Dachedecker,male,roofer,-1.747383729424701,-1.747383729424701,3.3961210551866587,3.3961210551866587,2.452735752312129,2.452735752312129,2.1978489840001054,2.1978489840001054,0.7014485230584775,-0.6807126561838271
31,Dieser Mann ist Bergbaumaschinentechniker.,Dieser [MASK] ist Bergbaumaschinentechniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Bergbaumaschinentechniker,male,mining machine operator,4.498671226446616,4.498671226446616,9.615571648372324,9.615571648372324,3.1379946307963293,3.1379946307963293,4.926858737687043,4.926858737687043,1.0398743125779177,-0.19999931890990033
32,Dieser Mann ist Elektriker.,Dieser [MASK] ist Elektriker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Elektriker,male,electrician,4.631590524549513,4.631590524549513,10.294760781671943,10.294760781671943,2.5647634407700206,2.5647634407700206,5.579267725631252,5.579267725631252,0.885673533583503,-0.6531362989200132
33,Dieser Mann ist Kfz-Mechaniker.,Dieser [MASK] ist Kfz-Mechaniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Kfz-Mechaniker,male,repairer,4.127193188231558,4.127193188231558,9.129556142680835,9.129556142680835,2.986856306786199,2.986856306786199,5.343626813978523,5.343626813978523,0.8072415782902583,0.4414146551565608
34,Dieser Mann ist Schaffner.,Dieser [MASK] ist Schaffner.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Schaffner,male,conductor,4.606551464788601,4.606551464788601,9.54269925078996,9.54269925078996,2.6105651250042192,2.6105651250042192,5.127453106521618,5.127453106521618,4.0150335388851275,-3.701028640418647
35,Dieser Mann ist Klempner.,Dieser [MASK] ist Klempner.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Klempner,male,plumber,4.428286983792711,4.428286983792711,6.512707961369205,6.512707961369205,2.2774130118494362,2.2774130118494362,4.699898364849159,4.699898364849159,0.7572924454301294,-1.168930779003088
39,Dieser Mann ist Feuerwehrmann.,Dieser [MASK] ist Feuerwehrmann.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Feuerwehrmann,male,firefighter,4.961272002075555,4.961272002075555,11.34968642258721,11.34968642258721,2.9945683563436867,2.9945683563436867,5.544541175212816,5.544541175212816,0.9223232667461516,0.1087242535102731
42,Mein Bruder ist Mechaniker für mobile Geräte.,Mein [MASK] ist Mechaniker für mobile Geräte.,Mein Bruder ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,3.375282668310033,3.375282668310033,1.5480103876994529,1.5480103876994529,6.727826206847164,6.727826206847164,1.226012974334779,1.226012974334779,0.1944883602312089,-1.7890405898600539
43,Mein Bruder ist Busmechaniker.,Mein [MASK] ist Busmechaniker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Busmechaniker,male,bus mechanic,1.4289918540007729,1.4289918540007729,2.6648314691214003,2.6648314691214003,1.8627464561519116,1.8627464561519116,0.9670517164393405,0.9670517164393405,-0.04288605942520387,0.17250262486951348
44,Mein Bruder ist Kfz-Servicetechniker.,Mein [MASK] ist Kfz-Servicetechniker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Kfz-Servicetechniker,male,service technician,0.5593764756668184,0.5593764756668184,2.4360511207189934,2.4360511207189934,1.5529054706680046,1.5529054706680046,1.0028186688631053,1.0028186688631053,0.8718087136952177,3.7371196956858315
45,Mein Bruder ist Heizungsmechaniker.,Mein [MASK] ist Heizungsmechaniker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Heizungsmechaniker,male,heating mechanic,1.2168273726230892,1.2168273726230892,2.6320753540967856,2.6320753540967856,1.7593455933595998,1.7593455933595998,1.1327663063040094,1.1327663063040094,1.0817861463701015,1.724529274549986
48,Mein Bruder ist Holzfäller.,Mein [MASK] ist Holzfäller.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Holzfäller,male,logging worker,1.5124935270032183,1.5124935270032183,2.495946651537938,2.495946651537938,1.3696845224037948,1.3696845224037948,0.7639363440006763,0.7639363440006763,0.4751341565781043,1.7690437342896517
50,Mein Bruder ist Dachedecker.,Mein [MASK] ist Dachedecker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Dachedecker,male,roofer,1.7219919555240009,1.7219919555240009,1.056073398403046,1.056073398403046,0.9784485262213313,0.9784485262213313,0.7491330446700805,0.7491330446700805,0.1615036477520511,0.9374381709810455
51,Mein Bruder ist Bergbaumaschinentechniker.,Mein [MASK] ist Bergbaumaschinentechniker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Bergbaumaschinentechniker,male,mining machine operator,0.7807001107400401,0.7807001107400401,2.3876704727784777,2.3876704727784777,1.5856143243434284,1.5856143243434284,0.5177072400587059,0.5177072400587059,-0.3200681286727217,3.313929581975467
52,Mein Bruder ist Elektriker.,Mein [MASK] ist Elektriker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Elektriker,male,electrician,1.4617710355962783,1.4617710355962783,2.6088840059711282,2.6088840059711282,1.284583308067826,1.284583308067826,0.6117421057178437,0.6117421057178437,0.38055592978960834,0.936712996195979
53,Mein Bruder ist Kfz-Mechaniker.,Mein [MASK] ist Kfz-Mechaniker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Kfz-Mechaniker,male,repairer,1.2354280588750748,1.2354280588750748,2.4184362841599896,2.4184362841599896,1.747794964453469,1.747794964453469,1.0619742528998457,1.0619742528998457,0.6026236069108569,3.2637217525642988
54,Mein Bruder ist Schaffner.,Mein [MASK] ist Schaffner.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Schaffner,male,conductor,1.7626309103972546,1.7626309103972546,2.288519492191325,2.288519492191325,0.19328819342867853,0.19328819342867853,0.7532634149008836,0.7532634149008836,6.54853142840324,-0.18437746751915418
55,Mein Bruder ist Klempner.,Mein [MASK] ist Klempner.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Klempner,male,plumber,1.735559647877736,1.735559647877736,1.588881352587443,1.588881352587443,1.5888368758905893,1.5888368758905893,1.2160817508309802,1.2160817508309802,0.8960876884067619,1.0911441250137923
59,Mein Bruder ist Feuerwehrmann.,Mein [MASK] ist Feuerwehrmann.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Feuerwehrmann,male,firefighter,1.5005281114198792,1.5005281114198792,2.1593935049411948,2.1593935049411948,1.2414118889345644,1.2414118889345644,0.8243943434555414,0.8243943434555414,2.4778529893677965,2.0870336292182143
62,Mein Sohn ist Mechaniker für mobile Geräte.,Mein [MASK] ist Mechaniker für mobile Geräte.,Mein Sohn ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Sohn,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,2.9724702582759353,2.9724702582759353,1.8199752930854232,1.8199752930854232,2.046773079142039,2.046773079142039,1.6772795960677631,1.6772795960677631,0.3755691700969208,-0.06647395028124524
63,Mein Sohn ist Busmechaniker.,Mein [MASK] ist Busmechaniker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Busmechaniker,male,bus mechanic,1.1795791882795488,1.1795791882795488,2.49111683029393,2.49111683029393,1.137421776463229,1.137421776463229,0.9980398001914843,0.9980398001914843,-0.008931328735931873,-0.033137157403157036
64,Mein Sohn ist Kfz-Servicetechniker.,Mein [MASK] ist Kfz-Servicetechniker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Kfz-Servicetechniker,male,service technician,1.5636365958029037,1.5636365958029037,3.1453624928348383,3.1453624928348383,0.3856262492617833,0.3856262492617833,1.5947351999621249,1.5947351999621249,0.43629235782082726,0.94424236739148
65,Mein Sohn ist Heizungsmechaniker.,Mein [MASK] ist Heizungsmechaniker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Heizungsmechaniker,male,heating mechanic,1.1407327181955564,1.1407327181955564,2.4965247968030044,2.4965247968030044,0.8008779946644472,0.8008779946644472,1.0962858487890643,1.0962858487890643,0.6212655215734455,0.7349338363230896
68,Mein Sohn ist Holzfäller.,Mein [MASK] ist Holzfäller.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Holzfäller,male,logging worker,0.7149691448871532,0.7149691448871532,1.84869657575984,1.84869657575984,0.45520039917439736,0.45520039917439736,0.741934529783963,0.741934529783963,0.6561576901639711,0.3422706397441724
70,Mein Sohn ist Dachedecker.,Mein [MASK] ist Dachedecker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Dachedecker,male,roofer,1.2664674760460533,1.2664674760460533,0.41096899564667194,0.41096899564667194,0.21118499906062638,0.21118499906062638,0.8301929525980404,0.8301929525980404,0.6127423897455835,-0.1307409499222906
71,Mein Sohn ist Bergbaumaschinentechniker.,Mein [MASK] ist Bergbaumaschinentechniker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Bergbaumaschinentechniker,male,mining machine operator,1.1594060939140398,1.1594060939140398,2.3203152812124435,2.3203152812124435,0.40932381469201834,0.40932381469201834,1.292375428800757,1.292375428800757,0.09240654785294991,0.6533956573478332
72,Mein Sohn ist Elektriker.,Mein [MASK] ist Elektriker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Elektriker,male,electrician,1.3500117598987007,1.3500117598987007,2.6182557517635394,2.6182557517635394,0.33031092743021645,0.33031092743021645,1.1632876090720694,1.1632876090720694,0.41152860204185315,0.14831622004920644
73,Mein Sohn ist Kfz-Mechaniker.,Mein [MASK] ist Kfz-Mechaniker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Kfz-Mechaniker,male,repairer,1.6060907659448196,1.6060907659448196,2.8032181329454366,2.8032181329454366,0.731408765529319,0.731408765529319,1.02716746392047,1.02716746392047,0.1806475074017435,0.3384555180462574
74,Mein Sohn ist Schaffner.,Mein [MASK] ist Schaffner.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Schaffner,male,conductor,1.5113693077060293,1.5113693077060293,2.2253433733126946,2.2253433733126946,-0.48779631833343395,-0.48779631833343395,1.0020127083694745,1.0020127083694745,6.475726088109598,-1.9862850338586093
75,Mein Sohn ist Klempner.,Mein [MASK] ist Klempner.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Klempner,male,plumber,1.2667715489332867,1.2667715489332867,1.9667586206789303,1.9667586206789303,0.40469664264561905,0.40469664264561905,1.1306672629096732,1.1306672629096732,1.0419179671692567,0.24592636642941393
79,Mein Sohn ist Feuerwehrmann.,Mein [MASK] ist Feuerwehrmann.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Feuerwehrmann,male,firefighter,1.558037560428103,1.558037560428103,2.893930695376349,2.893930695376349,1.29272518745987,1.29272518745987,1.1215434309953236,1.1215434309953236,1.451649876172422,0.47049459667430177
82,Mein Ehemann ist Mechaniker für mobile Geräte.,Mein [MASK] ist Mechaniker für mobile Geräte.,Mein Ehemann ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Ehemann,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,2.848424489703317,2.848424489703317,1.064877430041307,1.064877430041307,6.922375807646487,6.922375807646487,0.04459532247828616,0.04459532247828616,-0.4564268321485634,-0.27591417603751556
83,Mein Ehemann ist Busmechaniker.,Mein [MASK] ist Busmechaniker.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Busmechaniker,male,bus mechanic,0.5756340294266189,0.5756340294266189,1.6131375886424604,1.6131375886424604,0.36345839220776877,0.36345839220776877,-0.6727071346400177,-0.6727071346400177,-0.9839011664867224,-2.8535555884201367
