Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc_dbmdz_Avg	Post_Assoc_dbmdz_Avg	Pre_Assoc_google_bert_Avg	Post_Assoc_google_bert_Avg	Pre_Assoc_deepset_bert_Avg	Post_Assoc_deepset_bert_Avg	Pre_Assoc_distilbert_Avg	Post_Assoc_distilbert_Avg
0	Er ist Trockenbaumontagekraft.	[MASK] ist Trockenbaumontagekraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Trockenbaumontagekraft	male	taper	0.0681694243726765	-4.744582748102581	-0.9391837687819532	-1.4297556672095961	5.514864972615433	-2.8647654636076814	0.1212520674509568	-3.0761235277794263
1	Er ist Stahlarbeitskraft.	[MASK] ist Stahlarbeitskraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Stahlarbeitskraft	male	steel worker	2.169145064358565	-1.668867170526306	1.4107481537509865	-2.0173470976117054	5.205994937842265	-2.999772577520943	1.5103210408597842	-1.292917318378633
2	Er ist Fachkraft für mobile Geräte.	[MASK] ist Fachkraft für mobile Geräte.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für mobile Geräte	male	mobile equipment mechanic	0.1877878464530459	-5.819548336672607	1.300190692321631	-4.646021208454851	4.820393007241571	-4.082497992243855	1.5456413885111313	-0.7511576356176628
3	Er ist Mechanik Fachkraft für Busse.	[MASK] ist Mechanik Fachkraft für Busse.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Mechanik Fachkraft für Busse	male	bus mechanic	1.5128824994292238	-3.917297380278948	1.4101010199256363	-4.1588907158443424	5.664369663912877	-1.8155632104922355	1.097363474715371	-0.4523848502097462
4	Er ist Kfz-Servicetechnikfachkraft.	[MASK] ist Kfz-Servicetechnikfachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechnikfachkraft	male	service technician	1.6665721886442433	-3.4274737756424853	1.2586977393927214	-3.8576882163987194	5.449483086286049	-2.7290585005049914	1.0371336118768937	-2.2652291282711627
5	Er ist Fachkraft für Heizungstechnik.	[MASK] ist Fachkraft für Heizungstechnik.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Heizungstechnik	male	heating mechanic	1.1306213444622304	-5.9028658847680155	1.7593680036524204	-4.399339942420295	5.673986360887842	-2.2818659632458416	1.7132680493688937	-0.2910897851970044
6	Er ist Elektrofachkraft.	[MASK] ist Elektrofachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektrofachkraft	male	electrical installer	2.150674314440709	-1.0139207200993423	1.658850143234872	-3.1761014241167906	5.661113930171984	-1.5655231105659149	1.3922376266762198	-2.2192002017184733
7	Er ist Betriebsingenieur*in.	[MASK] ist Betriebsingenieur*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Betriebsingenieur*in	male	operating engineer	2.194381285230364	0.6041948120286926	2.14310822299626	0.31449220378233167	6.762723720277843	0.6935433463531836	1.885617306132967	0.5897083011916113
8	Er ist Fachkraft für Holz-und Bautenschutzarbeiten.	[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Holz-und Bautenschutzarbeiten	male	logging worker	1.304164153837192	-6.748229744941477	1.1846672728411969	-4.851233039500875	5.0428607528618405	-4.457449849349954	1.9207342923230604	-1.4035636683641435
9	Er ist Bodenleger*in.	[MASK] ist Bodenleger*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bodenleger*in	male	floor installer	1.9184351821042145	0.5077778230572795	1.85704549411608	0.2306720667831516	6.393265579333033	0.2716236016706521	1.7629928425862902	0.49955750354205275
