Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc_dbmdz_Avg	Post_Assoc_dbmdz_Avg	Pre_Assoc_google_bert_Avg	Post_Assoc_google_bert_Avg	Pre_Assoc_deepset_bert_Avg	Post_Assoc_deepset_bert_Avg	Pre_Assoc_distilbert_Avg	Post_Assoc_distilbert_Avg
2	Er ist Mechaniker für mobile Geräte.	[MASK] ist Mechaniker für mobile Geräte.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	2.7737187032298847	0.6872038056151182	2.566376159835871	0.37639562471159166	6.976824055279219	0.8152462882290321	1.9701669958302883	0.6068809855451717
3	Er ist Busmechaniker.	[MASK] ist Busmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Busmechaniker	male	bus mechanic	2.852763357290778	0.6865487478572271	2.801192341701507	0.37590709783575293	6.81157799257466	0.8140011080157195	2.028928495749778	0.5974933385493866
4	Er ist Kfz-Servicetechniker.	[MASK] ist Kfz-Servicetechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechniker	male	service technician	2.833884613448414	0.688161254304158	2.662009750367793	0.3764813269400492	6.883687088003771	0.8159442360108496	1.609598864886014	0.5990840375909492
5	Er ist Heizungsmechaniker.	[MASK] ist Heizungsmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Heizungsmechaniker	male	heating mechanic	2.822368744013164	0.6877364083919728	2.768563267882327	0.37639957150248193	6.961129504788514	0.8136479094595802	1.855840877661573	0.5956869563321819
8	Er ist Holzfäller.	[MASK] ist Holzfäller.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Holzfäller	male	logging worker	2.570686570390247	0.6794231902975743	2.428538994902717	0.36852689160040497	6.706156130949526	0.8070821174927736	1.8809523226848912	0.5858994210699903
10	Er ist Dachedecker.	[MASK] ist Dachedecker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachedecker	male	roofer	1.8238553359470733	0.6335026063244547	1.6566620376126278	0.35129271000207796	5.83167991282663	0.79119319250175	1.7021697099578637	0.5046152204436954
11	Er ist Bergbaumaschinentechniker.	[MASK] ist Bergbaumaschinentechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bergbaumaschinentechniker	male	mining machine operator	2.855119017875674	0.6880269509689053	2.8934919814099938	0.37707085714426763	6.960304235087034	0.8164807799063916	1.806817337211497	0.6033353877476721
12	Er ist Elektriker.	[MASK] ist Elektriker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektriker	male	electrician	2.712397356705066	0.6856467108848403	2.81195754203696	0.37566965408240083	6.832845479802392	0.8131669885000257	2.214717201267719	0.6064465185536474
13	Er ist Kfz-Mechaniker.	[MASK] ist Kfz-Mechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Mechaniker	male	repairer	2.824309135546184	0.6878549887033572	2.7075733144872576	0.3765062323167251	6.801454643600089	0.8143707716513771	1.9018662330864555	0.6119807629931954
14	Er ist Schaffner.	[MASK] ist Schaffner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Schaffner	male	conductor	2.4339843209685483	0.6819322315352927	2.4689108102984214	0.3465211877842084	5.176376816921433	0.793172884882666	1.828065697545621	0.5675811666569839
