Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc	Post_Assoc_Avg	Post_Assoc_dbmdz_Avg	Pre_Assoc_dbmdz_Avg	Post_Assoc_google_bert_Avg	Pre_Assoc_google_bert_Avg	Post_Assoc_deepset_bert_Avg	Pre_Assoc_deepset_bert_Avg	Post_Assoc_distilbert_Avg	Pre_Assoc_distilbert_Avg
2	Er ist Mechaniker für mobile Geräte.	[MASK] ist Mechaniker für mobile Geräte.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	7.335274356685215	4.369306924349743	4.369306924349743	7.335274356685215	4.076377931070271	2.897067726349167	4.198510342016229	5.33847993393749	3.459187728752376	2.75208355573199
3	Er ist Busmechaniker.	[MASK] ist Busmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Busmechaniker	male	bus mechanic	2.852763357290778	5.1209687647644655	5.1209687647644655	2.852763357290778	4.305974810840892	2.801192341701507	5.434296380050157	6.81157799257466	4.006528167700743	2.028928495749778
4	Er ist Kfz-Servicetechniker.	[MASK] ist Kfz-Servicetechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechniker	male	service technician	2.833884613448414	5.143916552003131	5.143916552003131	2.833884613448414	4.084934085861523	2.662009750367793	5.497897609929827	6.883687088003771	3.9532936632473	1.609598864886014
5	Er ist Heizungsmechaniker.	[MASK] ist Heizungsmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Heizungsmechaniker	male	heating mechanic	2.822368744013164	5.13274797939771	5.13274797939771	2.822368744013164	4.223145806038861	2.768563267882327	5.474647672507209	6.961129504788514	4.015220357800023	1.855840877661573
8	Er ist Holzfäller.	[MASK] ist Holzfäller.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Holzfäller	male	logging worker	2.570686570390247	4.9606027700043	4.9606027700043	2.570686570390247	3.706697192009625	2.428538994902717	4.814377178981832	6.706156130949526	3.8972254983236194	1.8809523226848912
10	Er ist Dachedecker.	[MASK] ist Dachedecker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachedecker	male	roofer	1.8238553359470733	2.466002164461317	2.466002164461317	1.8238553359470733	1.7534344749644846	1.6566620376126278	4.39302632031869	5.83167991282663	3.634544541471137	1.7021697099578637
11	Er ist Bergbaumaschinentechniker.	[MASK] ist Bergbaumaschinentechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bergbaumaschinentechniker	male	mining machine operator	2.855119017875674	5.141191281718171	5.141191281718171	2.855119017875674	4.150091869419186	2.8934919814099938	5.4740482198463605	6.960304235087034	4.009159441499738	1.806817337211497
12	Er ist Elektriker.	[MASK] ist Elektriker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektriker	male	electrician	2.712397356705066	5.120206751449617	5.120206751449617	2.712397356705066	4.021338342617252	2.81195754203696	5.362109129670885	6.832845479802392	4.040226262127057	2.214717201267719
13	Er ist Kfz-Mechaniker.	[MASK] ist Kfz-Mechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Mechaniker	male	repairer	2.824309135546184	5.142207108960259	5.142207108960259	2.824309135546184	4.23715137150319	2.7075733144872576	5.486140415733736	6.801454643600089	4.021438517820983	1.9018662330864555
14	Er ist Schaffner.	[MASK] ist Schaffner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Schaffner	male	conductor	2.4339843209685483	4.863604710036106	4.863604710036106	2.4339843209685483	3.8545039495274094	2.4689108102984214	4.576685201726672	5.176376816921433	3.8300469556804586	1.828065697545621
15	Er ist Klempner.	[MASK] ist Klempner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Klempner	male	plumber	2.7079221278808987	4.474076018233318	4.474076018233318	2.7079221278808987	2.006354654043892	1.62957876931224	5.0224280241757295	6.856151569304809	3.909875935281966	2.171864528835315
19	Er ist Feuerwehrmann.	[MASK] ist Feuerwehrmann.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Feuerwehrmann	male	firefighter	2.815623555401328	5.061871033499582	5.061871033499582	2.815623555401328	4.236089522520829	2.6013793293288763	5.256367667623578	6.604221591580388	4.041297778385927	1.9788680327329031
22	Dieser Mann ist Mechaniker für mobile Geräte.	Dieser [MASK] ist Mechaniker für mobile Geräte.	Dieser Mann ist [MASK] [MASK] [MASK] [MASK].	Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Mann	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	2.082757176522407	2.9074212519162805	2.9074212519162805	2.082757176522407	3.571252021891881	4.141224384937352	2.289734936429772	4.776004993452687	3.9214788301472607	4.230417417928311
23	Dieser Mann ist Busmechaniker.	Dieser [MASK] ist Busmechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Busmechaniker	male	bus mechanic	3.814144853963928	2.589664931443281	2.589664931443281	3.814144853963928	4.651796523255774	9.640720543015808	1.8727613647966108	2.9598946631528475	4.472479531344232	5.007729125988407
24	Dieser Mann ist Kfz-Servicetechniker.	Dieser [MASK] ist Kfz-Servicetechniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Kfz-Servicetechniker	male	service technician	3.157647399499538	2.5920637426957382	2.5920637426957382	3.157647399499538	4.042149469504667	8.368095918822029	2.485413678083044	2.9373401822380103	4.892527337128724	5.124964972556642
25	Dieser Mann ist Heizungsmechaniker.	Dieser [MASK] ist Heizungsmechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Heizungsmechaniker	male	heating mechanic	3.8239939811900014	2.6656578560571216	2.6656578560571216	3.8239939811900014	4.34351188895693	9.075295961349385	2.062885962644753	2.971785196697643	4.733493934944931	5.178746317289725
