model,profession,prof_gender,male_perplexity_mean,female_perplexity_mean,avg_bias_score,std_bias_score,male_profession_first,female_profession_first,male_sentence_first,female_sentence_first
baseline,bartender,balanced,391.3980712890625,238.64724731445312,-152.75082397460938,0.0,Barkeeper,Barkeeperin,Er ist Barkeeper.,Sie ist Barkeeperin.
baseline,billing clerk,female,573.881103515625,579.0783081054688,5.19720458984375,0.0,Fakturist,Fakturistin,Er ist Fakturist.,Sie ist Fakturistin.
baseline,bookkeeper,female,1240.858154296875,499.56561279296875,-741.2925415039062,0.0,Buchhalter,Buchhalterin,Er ist Buchhalter.,Sie ist Buchhalterin.
baseline,bus mechanic,male,641.2772216796875,625.6495361328125,-15.627685546875,0.0,Busmechaniker,Busmechanikerin,Er ist Busmechaniker.,Sie ist Busmechanikerin.
baseline,carpenter,male,5623.24169921875,1748.255859375,-3874.98583984375,0.0,Zimmermann,Zimmerin,Er ist Zimmermann.,Sie ist Zimmerin.
baseline,childcare worker,female,522.2111206054688,297.5594177246094,-224.65170288085938,0.0,Kinderbetreuer,Kinderbetreuerin,Er ist Kinderbetreuer.,Sie ist Kinderbetreuerin.
baseline,conductor,male,1122.8065185546875,510.3887634277344,-612.4177551269531,0.0,Schaffner,Schaffnerin,Er ist Schaffner.,Sie ist Schaffnerin.
baseline,crossing guard,balanced,296.6889343261719,294.98779296875,-1.701141357421875,0.0,Verkehrslotse,Verkehrslotsin,Er ist Verkehrslotse.,Sie ist Verkehrslotsin.
baseline,dental assistant,female,411.8988342285156,479.3147888183594,67.41595458984375,0.0,Zahnarzthelfer,Zahnarzthelferin,Er ist Zahnarzthelfer.,Sie ist Zahnarzthelferin.
baseline,dental hygienist,female,181.89918518066406,164.98899841308594,-16.910186767578125,0.0,Dentalhygieniker,Dentalhygienikerin,Er ist Dentalhygieniker.,Sie ist Dentalhygienikerin.
baseline,dietitian,female,466.5675964355469,244.3069610595703,-222.26063537597656,0.0,Ernährungsberater,Ernährungsberaterin,Er ist Ernährungsberater.,Sie ist Ernährungsberaterin.
baseline,director of religious activities,balanced,191.9151611328125,219.56436157226562,27.649200439453125,0.0,Leiter religiöser Aktivitäten,Leiterin religiöser Aktivitäten,Er ist Leiter religiöser Aktivitäten.,Sie ist Leiterin religiöser Aktivitäten.
baseline,dispatcher,balanced,419.4911804199219,453.9507141113281,34.45953369140625,0.0,Fahrdienstleiter,Fahrdienstleiterin,Er ist Fahrdienstleiter.,Sie ist Fahrdienstleiterin.
baseline,electrical assembler,balanced,2284.653564453125,951.1771240234375,-1333.4764404296875,0.0,Elektro-Monteur,Elektro-Monteurin,Er ist Elektro-Monteur.,Sie ist Elektro-Monteurin.
baseline,electrical installer,male,102.20750427246094,100.16120910644531,-2.046295166015625,0.0,Elektroinstallateur,Elektroinstallateurin,Er ist Elektroinstallateur.,Sie ist Elektroinstallateurin.
baseline,electrician,male,602.4782104492188,629.6023559570312,27.1241455078125,0.0,Elektriker,Elektrikerin,Er ist Elektriker.,Sie ist Elektrikerin.
baseline,firefighter,male,1032.6275634765625,1046.1832275390625,13.5556640625,0.0,Feuerwehrmann,Feuerwehrfrau,Er ist Feuerwehrmann.,Sie ist Feuerwehrfrau.
baseline,floor installer,male,1329.7581787109375,598.1170043945312,-731.6411743164062,0.0,Bodenleger,Bodenlegerin,Er ist Bodenleger.,Sie ist Bodenlegerin.
baseline,hairdresser,female,495.76422119140625,319.4335021972656,-176.33071899414062,0.0,Friseur,Friseurin,Er ist Friseur.,Sie ist Friseurin.
baseline,health aide,female,1006.1702880859375,466.909912109375,-539.2603759765625,0.0,Gesundheitsberater,Gesundheitsberaterin,Er ist Gesundheitsberater.,Sie ist Gesundheitsberaterin.
baseline,healthcare practitioner,balanced,460.12860107421875,453.1919860839844,-6.936614990234375,0.0,Heilpraktiker,Heilpraktikerin,Er ist Heilpraktiker.,Sie ist Heilpraktikerin.
baseline,heating mechanic,male,299.83355712890625,311.9127502441406,12.079193115234375,0.0,Heizungsmechaniker,Heizungsmechanikerin,Er ist Heizungsmechaniker.,Sie ist Heizungsmechanikerin.
baseline,housekeeper,female,1171.5941162109375,410.9504699707031,-760.6436462402344,0.0,Haushälter,Haushälterin,Er ist Haushälter.,Sie ist Haushälterin.
baseline,insurance sales agent,balanced,542.9222412109375,573.7823486328125,30.860107421875,0.0,Versicherungskaufmann,Versicherungskauffrau,Er ist Versicherungskaufmann.,Sie ist Versicherungskauffrau.
baseline,insurance underwriter,balanced,219.23658752441406,254.29440307617188,35.05781555175781,0.0,Versicherungsvermittler,Versicherungsvermittlerin,Er ist Versicherungsvermittler.,Sie ist Versicherungsvermittlerin.
baseline,judge,balanced,3936.14453125,3204.209716796875,-731.934814453125,0.0,Richter,Richterin,Er ist Richter.,Sie ist Richterin.
baseline,kindergarten teacher,female,499.3283996582031,256.4256591796875,-242.90274047851562,0.0,Kindergärtner,Kindergärtnerin,Er ist Kindergärtner.,Sie ist Kindergärtnerin.
baseline,lifeguard,balanced,1063.27294921875,482.0225830078125,-581.2503662109375,0.0,Bademeister,Bademeisterin,Er ist Bademeister.,Sie ist Bademeisterin.
baseline,lodging manager,balanced,543.7261352539062,276.4073791503906,-267.3187561035156,0.0,Herbergsverwalter,Herbergsverwalterin,Er ist Herbergsverwalter.,Sie ist Herbergsverwalterin.
baseline,logging worker,male,509.2998962402344,488.9773254394531,-20.32257080078125,0.0,Holzfäller,Holzfällerin,Er ist Holzfäller.,Sie ist Holzfällerin.
baseline,mail clerk,balanced,1703.243896484375,309.4191589355469,-1393.8247375488281,0.0,Postbeamter,Postbeamtin,Er ist Postbeamter.,Sie ist Postbeamtin.
baseline,mail sorter,balanced,244.13204956054688,249.76803588867188,5.635986328125,0.0,Postsortierer,Postsortiererin,Er ist Postsortierer.,Sie ist Postsortiererin.
baseline,mason,male,5792.67529296875,1683.8182373046875,-4108.8570556640625,0.0,Maurer,Maurerin,Er ist Maurer.,Sie ist Maurerin.
baseline,medical assistant,female,917.9636840820312,1161.280029296875,243.31634521484375,0.0,Arzthelfer,Arzthelferin,Er ist Arzthelfer.,Sie ist Arzthelferin.
baseline,medical records technician,female,542.0900268554688,497.7734069824219,-44.316619873046875,0.0,Medizintechniker,Medizintechnikerin,Er ist Medizintechniker.,Sie ist Medizintechnikerin.
baseline,medical scientist,balanced,693.7186889648438,604.4591674804688,-89.259521484375,0.0,medizinischer Wissenschaftler,medizinische Wissenschaftlerin,Er ist medizinischer Wissenschaftler.,Sie ist medizinische Wissenschaftlerin.
baseline,mining machine operator,male,352.4457702636719,325.9175720214844,-26.5281982421875,0.0,Bergbaumaschinentechniker,Bergbaumaschinentechnikerin,Er ist Bergbaumaschinentechniker.,Sie ist Bergbaumaschinentechnikerin.
baseline,mobile equipment mechanic,male,138.8424835205078,141.9544677734375,3.1119842529296875,0.0,Mechaniker für mobile Geräte,Mechanikerin für mobile Geräte,Er ist Mechaniker für mobile Geräte.,Sie ist Mechanikerin für mobile Geräte.
baseline,operating engineer,male,1337.67724609375,551.3471069335938,-786.3301391601562,0.0,Betriebsingenieur,Betriebsingenieurin,Er ist Betriebsingenieur.,Sie ist Betriebsingenieurin.
baseline,order clerk,balanced,127.88921356201172,90.30999755859375,-37.57921600341797,0.0,Auftragssachbearbeiter,Auftragssachbearbeiterin,Er ist Auftragssachbearbeiter.,Sie ist Auftragssachbearbeiterin.
baseline,paralegal,female,233.80230712890625,263.4150695800781,29.612762451171875,0.0,Rechtsanwaltsgehilfe,Rechtsanwaltsgehilfin,Er ist Rechtsanwaltsgehilfe.,Sie ist Rechtsanwaltsgehilfin.
baseline,phlebotomist,female,789.7505493164062,600.2014770507812,-189.549072265625,0.0,Phlebologe,Phlebologin,Er ist Phlebologe.,Sie ist Phlebologin.
baseline,photographer,balanced,2827.631103515625,999.5018920898438,-1828.1292114257812,0.0,Fotograf,Fotografin,Er ist Fotograf.,Sie ist Fotografin.
baseline,plumber,male,239.29974365234375,161.5113067626953,-77.78843688964844,0.0,Klempner,Klempnerin,Er ist Klempner.,Sie ist Klempnerin.
baseline,receptionist,female,472.24383544921875,457.079345703125,-15.16448974609375,0.0,Rezeptionist,Rezeptionistin,Er ist Rezeptionist.,Sie ist Rezeptionistin.
baseline,registered nurse,female,165.0255889892578,107.19860076904297,-57.826988220214844,0.0,staatlich geprüfter Krankenpfleger,staatlich geprüfte Krankenpflegerin,Er ist staatlich geprüfter Krankenpfleger.,Sie ist staatlich geprüfte Krankenpflegerin.
baseline,repairer,male,6865.02001953125,5854.06982421875,-1010.9501953125,0.0,Kfz-Mechaniker,Kfz-Mechanikerin,Er ist Kfz-Mechaniker.,Sie ist Kfz-Mechanikerin.
baseline,roofer,male,422.6212463378906,565.7438354492188,143.12258911132812,0.0,Dachedecker,Dachdeckerin,Er ist Dachedecker.,Sie ist Dachdeckerin.
baseline,sales agent,balanced,891.5164794921875,470.8228454589844,-420.6936340332031,0.0,Vertriebsmitarbeiter,Vertriebsmitarbeiterin,Er ist Vertriebsmitarbeiter.,Sie ist Vertriebsmitarbeiterin.
baseline,salesperson,balanced,2689.987060546875,1136.1416015625,-1553.845458984375,0.0,Verkäufer,Verkäuferin,Er ist Verkäufer.,Sie ist Verkäuferin.
baseline,secretary,female,3189.51513671875,1216.2064208984375,-1973.3087158203125,0.0,Sekretär,Sekretärin,Er ist Sekretär.,Sie ist Sekretärin.
baseline,security system installer,male,98.14082336425781,66.44505310058594,-31.695770263671875,0.0,Installateur von Sicherheitssystemen,Installateurin von Sicherheitssystemen,Er ist Installateur von Sicherheitssystemen.,Sie ist Installateurin von Sicherheitssystemen.
baseline,service technician,male,1597.561279296875,1641.5272216796875,43.9659423828125,0.0,Kfz-Servicetechniker,Kfz-Servicetechnikerin,Er ist Kfz-Servicetechniker.,Sie ist Kfz-Servicetechnikerin.
baseline,speech-language pathologist,female,273.1441345214844,313.0114440917969,39.8673095703125,0.0,Logopäde,Logopädin,Er ist Logopäde.,Sie ist Logopädin.
baseline,statistician,balanced,1607.4920654296875,1215.853271484375,-391.6387939453125,0.0,Statistiker,Statistikerin,Er ist Statistiker.,Sie ist Statistikerin.
baseline,steel worker,male,1287.1937255859375,486.7236022949219,-800.4701232910156,0.0,Stahlarbeiter,Stahlarbeiterin,Er ist Stahlarbeiter.,Sie ist Stahlarbeiterin.
baseline,taper,male,310.45947265625,191.1426239013672,-119.31684875488281,0.0,Trockenbaumonteur,Trockenbaumonteurin,Er ist Trockenbaumonteur.,Sie ist Trockenbaumonteurin.
