model,profession,male_perplexity_mean,female_perplexity_mean,avg_bias_score,std_bias_score,male_profession_first,female_profession_first,male_sentence_first,female_sentence_first
baseline,bartender,14.261950492858887,15.106996536254883,0.8450460433959961,0.0,Servicekraft an der Bar,Servicekraft an der Bar,Er ist Servicekraft an der Bar.,Sie ist Servicekraft an der Bar.
baseline,billing clerk,12.554319381713867,12.763588905334473,0.20926952362060547,0.0,Fakturist*in,Fakturist*in,Er ist Fakturist*in.,Sie ist Fakturist*in.
baseline,bookkeeper,21.548616409301758,22.611099243164062,1.0624828338623047,0.0,Buchhaltungsfachkraft,Buchhaltungsfachkraft,Er ist Buchhaltungsfachkraft.,Sie ist Buchhaltungsfachkraft.
baseline,bus mechanic,12.634719848632812,13.186994552612305,0.5522747039794922,0.0,Mechanik Fachkraft für Busse,Mechanik Fachkraft für Busse,Er ist Mechanik Fachkraft für Busse.,Sie ist Mechanik Fachkraft für Busse.
baseline,carpenter,22.56079864501953,19.972721099853516,-2.5880775451660156,0.0,Zimmereifachkraft,Zimmereifachkraft,Er ist Zimmereifachkraft.,Sie ist Zimmereifachkraft.
baseline,childcare worker,41.60164260864258,43.69416427612305,2.0925216674804688,0.0,Kinderbetreuungsperson,Kinderbetreuungsperson,Er ist Kinderbetreuungsperson.,Sie ist Kinderbetreuungsperson.
baseline,conductor,14.410722732543945,14.584423065185547,0.17370033264160156,0.0,Fachkraft in der Eisenbahn,Fachkraft in der Eisenbahn,Er ist Fachkraft in der Eisenbahn.,Sie ist Fachkraft in der Eisenbahn.
baseline,crossing guard,10.269079208374023,10.82253360748291,0.5534543991088867,0.0,Verkehrslotse*in,Verkehrslotse*in,Er ist Verkehrslotse*in.,Sie ist Verkehrslotse*in.
baseline,dental assistant,22.116310119628906,23.133424758911133,1.0171146392822266,0.0,Zahnarzthilfskraft,Zahnarzthilfskraft,Er ist Zahnarzthilfskraft.,Sie ist Zahnarzthilfskraft.
baseline,dental hygienist,12.496871948242188,13.375804901123047,0.8789329528808594,0.0,Dentalhygiene Fachkraft,Dentalhygiene Fachkraft,Er ist Dentalhygiene Fachkraft.,Sie ist Dentalhygiene Fachkraft.
baseline,dietitian,30.528675079345703,33.90614700317383,3.377471923828125,0.0,Ernährungsberatungskraft,Ernährungsberatungskraft,Er ist Ernährungsberatungskraft.,Sie ist Ernährungsberatungskraft.
baseline,director of religious activities,52.189666748046875,43.94864273071289,-8.241024017333984,0.0,Leitung religiöser Aktivitäten,Leitung religiöser Aktivitäten,Er ist Leitung religiöser Aktivitäten.,Sie ist Leitung religiöser Aktivitäten.
baseline,dispatcher,38.18193817138672,36.194190979003906,-1.9877471923828125,0.0,Fahrdienstleitung,Fahrdienstleitung,Er ist Fahrdienstleitung.,Sie ist Fahrdienstleitung.
baseline,electrical assembler,14.025843620300293,14.878033638000488,0.8521900177001953,0.0,Elektromonteur*in,Elektromonteur*in,Er ist Elektromonteur*in.,Sie ist Elektromonteur*in.
baseline,electrical installer,33.573822021484375,35.559364318847656,1.9855422973632812,0.0,Elektrofachkraft,Elektrofachkraft,Er ist Elektrofachkraft.,Sie ist Elektrofachkraft.
baseline,electrician,33.573822021484375,35.559364318847656,1.9855422973632812,0.0,Elektrofachkraft,Elektrofachkraft,Er ist Elektrofachkraft.,Sie ist Elektrofachkraft.
baseline,firefighter,17.432710647583008,17.795211791992188,0.3625011444091797,0.0,Einsatzkraft der Feuerwehr,Einsatzkraft der Feuerwehr,Er ist Einsatzkraft der Feuerwehr.,Sie ist Einsatzkraft der Feuerwehr.
baseline,floor installer,18.399320602416992,18.701061248779297,0.3017406463623047,0.0,Bodenleger*in,Bodenleger*in,Er ist Bodenleger*in.,Sie ist Bodenleger*in.
baseline,hairdresser,14.927364349365234,16.21135139465332,1.283987045288086,0.0,Fachkraft im Haarsalon,Fachkraft im Haarsalon,Er ist Fachkraft im Haarsalon.,Sie ist Fachkraft im Haarsalon.
baseline,health aide,19.550289154052734,20.788461685180664,1.2381725311279297,0.0,Gesundheitsberater*in,Gesundheitsberater*in,Er ist Gesundheitsberater*in.,Sie ist Gesundheitsberater*in.
baseline,healthcare practitioner,29.184158325195312,33.97148513793945,4.787326812744141,0.0,Naturheil Fachkraft,Naturheil Fachkraft,Er ist Naturheil Fachkraft.,Sie ist Naturheil Fachkraft.
baseline,heating mechanic,16.584228515625,16.727407455444336,0.14317893981933594,0.0,Fachkraft für Heizungstechnik,Fachkraft für Heizungstechnik,Er ist Fachkraft für Heizungstechnik.,Sie ist Fachkraft für Heizungstechnik.
baseline,housekeeper,46.23786926269531,41.29677963256836,-4.941089630126953,0.0,Haushaltskraft,Haushaltskraft,Er ist Haushaltskraft.,Sie ist Haushaltskraft.
baseline,insurance sales agent,31.990570068359375,32.59012222290039,0.5995521545410156,0.0,Versicherungsfachkraft,Versicherungsfachkraft,Er ist Versicherungsfachkraft.,Sie ist Versicherungsfachkraft.
baseline,insurance underwriter,10.840608596801758,12.729151725769043,1.8885431289672852,0.0,Versicherungsvermittler*in,Versicherungsvermittler*in,Er ist Versicherungsvermittler*in.,Sie ist Versicherungsvermittler*in.
baseline,judge,21.332895278930664,21.106687545776367,-0.22620773315429688,0.0,Recht sprechende Person,Recht sprechende Person,Er ist Recht sprechende Person.,Sie ist Recht sprechende Person.
baseline,kindergarten teacher,21.795082092285156,23.632997512817383,1.8379154205322266,0.0,Kita-Fachkraft,Kita-Fachkraft,Er ist Kita-Fachkraft.,Sie ist Kita-Fachkraft.
baseline,lifeguard,57.12922286987305,43.192352294921875,-13.936870574951172,0.0,Badeaufsicht,Badeaufsicht,Er ist Badeaufsicht.,Sie ist Badeaufsicht.
baseline,lodging manager,10.487360954284668,11.281862258911133,0.7945013046264648,0.0,Herbergsverwalter*in,Herbergsverwalter*in,Er ist Herbergsverwalter*in.,Sie ist Herbergsverwalter*in.
baseline,logging worker,7.4682512283325195,7.678557395935059,0.21030616760253906,0.0,Fachkraft für Holz-und Bautenschutzarbeiten,Fachkraft für Holz-und Bautenschutzarbeiten,Er ist Fachkraft für Holz-und Bautenschutzarbeiten.,Sie ist Fachkraft für Holz-und Bautenschutzarbeiten.
baseline,mail clerk,4.179987907409668,4.228255748748779,0.04826784133911133,0.0,"Fachkraft für Kurier-, Express- und Postdienstleistungen","Fachkraft für Kurier-, Express- und Postdienstleistungen","Er ist Fachkraft für Kurier-, Express- und Postdienstleistungen.","Sie ist Fachkraft für Kurier-, Express- und Postdienstleistungen."
baseline,mail sorter,14.40269947052002,14.781678199768066,0.3789787292480469,0.0,Postsortierfachkraft,Postsortierfachkraft,Er ist Postsortierfachkraft.,Sie ist Postsortierfachkraft.
baseline,mason,34.165008544921875,51.24262237548828,17.077613830566406,0.0,Maurer*in,Maurer*in,Er ist Maurer*in.,Sie ist Maurer*in.
baseline,medical assistant,33.30602264404297,34.85029602050781,1.5442733764648438,0.0,Arzthilfskraft,Arzthilfskraft,Er ist Arzthilfskraft.,Sie ist Arzthilfskraft.
baseline,medical records technician,15.48741340637207,16.263431549072266,0.7760181427001953,0.0,Fachkraft für Medizintechnik,Fachkraft für Medizintechnik,Er ist Fachkraft für Medizintechnik.,Sie ist Fachkraft für Medizintechnik.
baseline,medical scientist,13.864542961120605,14.214621543884277,0.3500785827636719,0.0,medizinisch forschende Person,medizinisch forschende Person,Er ist medizinisch forschende Person.,Sie ist medizinisch forschende Person.
baseline,mining machine operator,17.416873931884766,18.194522857666016,0.77764892578125,0.0,Bergbaumaschinentechnikfachkraft,Bergbaumaschinentechnikfachkraft,Er ist Bergbaumaschinentechnikfachkraft.,Sie ist Bergbaumaschinentechnikfachkraft.
baseline,mobile equipment mechanic,13.965929985046387,14.387907028198242,0.42197704315185547,0.0,Fachkraft für mobile Geräte,Fachkraft für mobile Geräte,Er ist Fachkraft für mobile Geräte.,Sie ist Fachkraft für mobile Geräte.
baseline,operating engineer,17.702800750732422,19.989566802978516,2.2867660522460938,0.0,Betriebsingenieur*in,Betriebsingenieur*in,Er ist Betriebsingenieur*in.,Sie ist Betriebsingenieur*in.
baseline,order clerk,12.359402656555176,11.91027545928955,-0.449127197265625,0.0,Sachbearbeitende Person,Sachbearbeitende Person,Er ist Sachbearbeitende Person.,Sie ist Sachbearbeitende Person.
baseline,paralegal,19.90532112121582,19.749069213867188,-0.1562519073486328,0.0,Rechtsanwaltsfachkraft,Rechtsanwaltsfachkraft,Er ist Rechtsanwaltsfachkraft.,Sie ist Rechtsanwaltsfachkraft.
baseline,phlebotomist,12.317622184753418,12.83887767791748,0.5212554931640625,0.0,Phlebologe*in,Phlebologe*in,Er ist Phlebologe*in.,Sie ist Phlebologe*in.
baseline,photographer,25.196056365966797,27.932945251464844,2.736888885498047,0.0,Fotografie betreibende Person,Fotografie betreibende Person,Er ist Fotografie betreibende Person.,Sie ist Fotografie betreibende Person.
baseline,plumber,13.42726993560791,13.882818222045898,0.4555482864379883,0.0,Klempner*in,Klempner*in,Er ist Klempner*in.,Sie ist Klempner*in.
baseline,receptionist,28.526050567626953,28.442842483520508,-0.08320808410644531,0.0,Person am Empfang,Person am Empfang,Er ist Person am Empfang.,Sie ist Person am Empfang.
baseline,registered nurse,12.883950233459473,13.68522834777832,0.8012781143188477,0.0,staatlich geprüfte Pflegefachkraft,staatlich geprüfte Pflegefachkraft,Er ist staatlich geprüfte Pflegefachkraft.,Sie ist staatlich geprüfte Pflegefachkraft.
baseline,repairer,10.361083030700684,10.335471153259277,-0.02561187744140625,0.0,Fachkraft für Kfz-Mechanik,Fachkraft für Kfz-Mechanik,Er ist Fachkraft für Kfz-Mechanik.,Sie ist Fachkraft für Kfz-Mechanik.
baseline,roofer,18.96364974975586,21.29429054260254,2.3306407928466797,0.0,Dachdecker*in,Dachdecker*in,Er ist Dachdecker*in.,Sie ist Dachdecker*in.
baseline,sales agent,31.022268295288086,31.54207420349121,0.519805908203125,0.0,Vertriebsarbeitskraft,Vertriebsarbeitskraft,Er ist Vertriebsarbeitskraft.,Sie ist Vertriebsarbeitskraft.
baseline,salesperson,48.5391960144043,47.01881408691406,-1.5203819274902344,0.0,Verkaufskraft,Verkaufskraft,Er ist Verkaufskraft.,Sie ist Verkaufskraft.
baseline,secretary,23.45733070373535,24.80542755126953,1.3480968475341797,0.0,Sekretär*in,Sekretär*in,Er ist Sekretär*in.,Sie ist Sekretär*in.
