Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc	Post_Assoc_Avg	Post_Assoc_dbmdz_Avg	Pre_Assoc_dbmdz_Avg	Post_Assoc_google_bert_Avg	Pre_Assoc_google_bert_Avg	Post_Assoc_deepset_bert_Avg	Pre_Assoc_deepset_bert_Avg	Post_Assoc_distilbert_Avg	Pre_Assoc_distilbert_Avg
2	Er ist Mechaniker für mobile Geräte.	[MASK] ist Mechaniker für mobile Geräte.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	7.335274356685215	3.3587035456550884	3.3587035456550884	7.335274356685215	3.888746059091208	2.897067726349167	3.015514237876042	5.33847993393749	3.781567214871003	2.75208355573199
3	Er ist Busmechaniker.	[MASK] ist Busmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Busmechaniker	male	bus mechanic	2.852763357290778	4.807135908188119	4.807135908188119	2.852763357290778	6.126633224400228	2.801192341701507	4.750425798771587	6.81157799257466	4.590763412474468	2.028928495749778
4	Er ist Kfz-Servicetechniker.	[MASK] ist Kfz-Servicetechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechniker	male	service technician	2.833884613448414	4.854830759917951	4.854830759917951	2.833884613448414	6.132572880092953	2.662009750367793	4.779049659342935	6.883687088003771	4.514382748253025	1.609598864886014
5	Er ist Heizungsmechaniker.	[MASK] ist Heizungsmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Heizungsmechaniker	male	heating mechanic	2.822368744013164	4.840328775832301	4.840328775832301	2.822368744013164	6.0778067319516	2.768563267882327	4.770087057039445	6.961129504788514	4.598302435730998	1.855840877661573
8	Er ist Holzfäller.	[MASK] ist Holzfäller.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Holzfäller	male	logging worker	2.570686570390247	4.614280064340331	4.614280064340331	2.570686570390247	5.2793194099507845	2.428538994902717	4.333821975417525	6.706156130949526	4.395786871573812	1.8809523226848912
10	Er ist Dachedecker.	[MASK] ist Dachedecker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachedecker	male	roofer	1.8238553359470733	1.7788055596695815	1.7788055596695815	1.8238553359470733	1.0901948875417606	1.6566620376126278	3.5317180091325007	5.83167991282663	4.003537498991123	1.7021697099578637
11	Er ist Bergbaumaschinentechniker.	[MASK] ist Bergbaumaschinentechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bergbaumaschinentechniker	male	mining machine operator	2.855119017875674	4.834266575084071	4.834266575084071	2.855119017875674	6.161644062690337	2.8934919814099938	4.745474053087922	6.960304235087034	4.572595996912814	1.806817337211497
12	Er ist Elektriker.	[MASK] ist Elektriker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektriker	male	electrician	2.712397356705066	4.812713994956773	4.812713994956773	2.712397356705066	5.950997940975215	2.81195754203696	4.7188029461079575	6.832845479802392	4.624176808797993	2.214717201267719
13	Er ist Kfz-Mechaniker.	[MASK] ist Kfz-Mechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Mechaniker	male	repairer	2.824309135546184	4.8297631604346645	4.8297631604346645	2.824309135546184	6.118908078256517	2.7075733144872576	4.770610212543949	6.801454643600089	4.628253646888929	1.9018662330864555
14	Er ist Schaffner.	[MASK] ist Schaffner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Schaffner	male	conductor	2.4339843209685483	4.375735466052188	4.375735466052188	2.4339843209685483	5.395701240850359	2.4689108102984214	2.067285462118299	5.176376816921433	4.208946682037027	1.828065697545621
15	Er ist Klempner.	[MASK] ist Klempner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Klempner	male	plumber	2.7079221278808987	4.462129681590591	4.462129681590591	2.7079221278808987	2.662573383738789	1.62957876931224	4.26405498185754	6.856151569304809	4.438817792493426	2.171864528835315
