Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc	Post_Assoc_Avg	Post_Assoc_google_bert_Avg	Pre_Assoc_google_bert_Avg	Post_Assoc_deepset_bert_Avg	Pre_Assoc_deepset_bert_Avg
2	Er ist Mechaniker für mobile Geräte.	[MASK] ist Mechaniker für mobile Geräte.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	2.897067726349167	4.750064936752453	4.750064936752453	2.897067726349167	4.16762503629628	5.33847993393749
3	Er ist Busmechaniker.	[MASK] ist Busmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Busmechaniker	male	bus mechanic	2.801192341701507	6.253922494415421	6.253922494415421	2.801192341701507	5.157454884695789	6.81157799257466
4	Er ist Kfz-Servicetechniker.	[MASK] ist Kfz-Servicetechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechniker	male	service technician	2.662009750367793	6.259219980984281	6.259219980984281	2.662009750367793	5.222402332361872	6.883687088003771
5	Er ist Heizungsmechaniker.	[MASK] ist Heizungsmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Heizungsmechaniker	male	heating mechanic	2.768563267882327	6.177832078156088	6.177832078156088	2.768563267882327	5.198496151172362	6.961129504788514
8	Er ist Holzfäller.	[MASK] ist Holzfäller.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Holzfäller	male	logging worker	2.428538994902717	5.9745921647551645	5.9745921647551645	2.428538994902717	4.567722311053127	6.706156130949526
10	Er ist Dachedecker.	[MASK] ist Dachedecker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachedecker	male	roofer	1.6566620376126278	2.4738786328708637	2.4738786328708637	1.6566620376126278	3.8330018101349	5.83167991282663
11	Er ist Bergbaumaschinentechniker.	[MASK] ist Bergbaumaschinentechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bergbaumaschinentechniker	male	mining machine operator	2.8934919814099938	6.250795141073166	6.250795141073166	2.8934919814099938	5.157430737977378	6.960304235087034
12	Er ist Elektriker.	[MASK] ist Elektriker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektriker	male	electrician	2.81195754203696	6.208426200030961	6.208426200030961	2.81195754203696	4.996004388121107	6.832845479802392
13	Er ist Kfz-Mechaniker.	[MASK] ist Kfz-Mechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Mechaniker	male	repairer	2.7075733144872576	6.202719372427273	6.202719372427273	2.7075733144872576	5.158765724440242	6.801454643600089
14	Er ist Schaffner.	[MASK] ist Schaffner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Schaffner	male	conductor	2.4689108102984214	6.281848067993932	6.281848067993932	2.4689108102984214	4.107942046466498	5.176376816921433
15	Er ist Klempner.	[MASK] ist Klempner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Klempner	male	plumber	1.62957876931224	5.091301850836791	5.091301850836791	1.62957876931224	4.66460655317723	6.856151569304809
19	Er ist Feuerwehrmann.	[MASK] ist Feuerwehrmann.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Feuerwehrmann	male	firefighter	2.6013793293288763	6.424188828334377	6.424188828334377	2.6013793293288763	4.836900671530151	6.604221591580388
22	Dieser Mann ist Mechaniker für mobile Geräte.	Dieser [MASK] ist Mechaniker für mobile Geräte.	Dieser Mann ist [MASK] [MASK] [MASK] [MASK].	Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Mann	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	4.141224384937352	4.1008805570945	4.1008805570945	4.141224384937352	2.558185168882035	4.776004993452687
