Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc	Post_Assoc_Avg	Post_Assoc_dbmdz_Avg	Pre_Assoc_dbmdz_Avg	Post_Assoc_google_bert_Avg	Pre_Assoc_google_bert_Avg	Post_Assoc_deepset_bert_Avg	Pre_Assoc_deepset_bert_Avg	Post_Assoc_distilbert_Avg	Pre_Assoc_distilbert_Avg
2	Er ist Mechaniker für mobile Geräte.	[MASK] ist Mechaniker für mobile Geräte.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	7.335274356685215	4.423577437033179	4.423577437033179	7.335274356685215	4.027962349090938	2.897067726349167	4.668611944889653	5.33847993393749	3.0653323967346378	2.75208355573199
3	Er ist Busmechaniker.	[MASK] ist Busmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Busmechaniker	male	bus mechanic	2.852763357290778	4.982085338208048	4.982085338208048	2.852763357290778	4.518376048947061	2.801192341701507	6.778412487507152	6.81157799257466	2.988957542702785	2.028928495749778
4	Er ist Kfz-Servicetechniker.	[MASK] ist Kfz-Servicetechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechniker	male	service technician	2.833884613448414	5.067916875102302	5.067916875102302	2.833884613448414	4.54319464103579	2.662009750367793	6.812695375841642	6.883687088003771	2.946524649787513	1.609598864886014
5	Er ist Heizungsmechaniker.	[MASK] ist Heizungsmechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Heizungsmechaniker	male	heating mechanic	2.822368744013164	5.041140009167877	5.041140009167877	2.822368744013164	4.393406962684907	2.768563267882327	6.808864446678815	6.961129504788514	2.9889117844162665	1.855840877661573
8	Er ist Holzfäller.	[MASK] ist Holzfäller.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Holzfäller	male	logging worker	2.570686570390247	4.87635384633216	4.87635384633216	2.570686570390247	3.3428385529585	2.428538994902717	5.912981643555069	6.706156130949526	2.910111881324238	1.8809523226848912
10	Er ist Dachedecker.	[MASK] ist Dachedecker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachedecker	male	roofer	1.8238553359470733	2.546489161060496	2.546489161060496	1.8238553359470733	1.264577651459666	1.6566620376126278	4.403142528454755	5.83167991282663	2.803990098158676	1.7021697099578637
11	Er ist Bergbaumaschinentechniker.	[MASK] ist Bergbaumaschinentechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bergbaumaschinentechniker	male	mining machine operator	2.855119017875674	5.060463709366191	5.060463709366191	2.855119017875674	4.238222015254416	2.8934919814099938	6.781517943671949	6.960304235087034	2.9712323810212755	1.806817337211497
12	Er ist Elektriker.	[MASK] ist Elektriker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektriker	male	electrician	2.712397356705066	5.007936155958149	5.007936155958149	2.712397356705066	4.100046703757666	2.81195754203696	6.594302160220451	6.832845479802392	2.999462792719521	2.214717201267719
13	Er ist Kfz-Mechaniker.	[MASK] ist Kfz-Mechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Mechaniker	male	repairer	2.824309135546184	5.054110494794989	5.054110494794989	2.824309135546184	4.659293498450629	2.7075733144872576	6.793022609937252	6.801454643600089	2.990211209069088	1.9018662330864555
14	Er ist Schaffner.	[MASK] ist Schaffner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Schaffner	male	conductor	2.4339843209685483	4.767281508246292	4.767281508246292	2.4339843209685483	4.236010197043503	2.4689108102984214	2.278592457253593	5.176376816921433	2.851481499218858	1.828065697545621
15	Er ist Klempner.	[MASK] ist Klempner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Klempner	male	plumber	2.7079221278808987	4.611798308038091	4.611798308038091	2.7079221278808987	3.211470616581823	1.62957876931224	6.318091530580742	6.856151569304809	2.931912204567978	2.171864528835315
19	Er ist Feuerwehrmann.	[MASK] ist Feuerwehrmann.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Feuerwehrmann	male	firefighter	2.815623555401328	4.978972010578606	4.978972010578606	2.815623555401328	4.596708765413128	2.6013793293288763	6.302334293624454	6.604221591580388	3.0039218258964047	1.9788680327329031
22	Dieser Mann ist Mechaniker für mobile Geräte.	Dieser [MASK] ist Mechaniker für mobile Geräte.	Dieser Mann ist [MASK] [MASK] [MASK] [MASK].	Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Mann	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	2.082757176522407	2.12340874647336	2.12340874647336	2.082757176522407	3.3617879478058312	4.141224384937352	1.616721291299831	4.776004993452687	3.5203474769113026	4.230417417928311
23	Dieser Mann ist Busmechaniker.	Dieser [MASK] ist Busmechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Busmechaniker	male	bus mechanic	3.814144853963928	1.388145879095138	1.388145879095138	3.814144853963928	4.7486104130618205	9.640720543015808	0.5239449937367624	2.9598946631528475	3.9793242087428	5.007729125988407
24	Dieser Mann ist Kfz-Servicetechniker.	Dieser [MASK] ist Kfz-Servicetechniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Kfz-Servicetechniker	male	service technician	3.157647399499538	1.583684601983833	1.583684601983833	3.157647399499538	4.152595574133287	8.368095918822029	1.0714412554083133	2.9373401822380103	4.184761440107601	5.124964972556642
25	Dieser Mann ist Heizungsmechaniker.	Dieser [MASK] ist Heizungsmechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Heizungsmechaniker	male	heating mechanic	3.8239939811900014	1.5762281090066077	1.5762281090066077	3.8239939811900014	4.303159292956977	9.075295961349385	0.5080678377844592	2.971785196697643	4.199492822175683	5.178746317289725
28	Dieser Mann ist Holzfäller.	Dieser [MASK] ist Holzfäller.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Holzfäller	male	logging worker	4.935394006675907	1.5718237755822706	1.5718237755822706	4.935394006675907	4.224762584324023	10.106302239858335	-0.0788273681837428	2.8031375005597363	3.8658739663754464	5.022582709359965
30	Dieser Mann ist Dachedecker.	Dieser [MASK] ist Dachedecker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Dachedecker	male	roofer	-1.747383729424701	0.8256056808940178	0.8256056808940178	-1.747383729424701	1.9521076867503548	3.3961210551866587	-0.1410612526328513	2.452735752312129	3.2192337323913245	2.1978489840001054
31	Dieser Mann ist Bergbaumaschinentechniker.	Dieser [MASK] ist Bergbaumaschinentechniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Bergbaumaschinentechniker	male	mining machine operator	4.498671226446616	2.057701570409386	2.057701570409386	4.498671226446616	4.735188049900334	9.615571648372324	0.9653266344166616	3.1379946307963293	4.033702017471248	4.926858737687043
32	Dieser Mann ist Elektriker.	Dieser [MASK] ist Elektriker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Elektriker	male	electrician	4.631590524549513	1.6693223376671544	1.6693223376671544	4.631590524549513	4.469065753270055	10.294760781671943	0.1085352759524759	2.5647634407700206	4.4635436358501295	5.579267725631252
33	Dieser Mann ist Kfz-Mechaniker.	Dieser [MASK] ist Kfz-Mechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Kfz-Mechaniker	male	repairer	4.127193188231558	2.007524998398185	2.007524998398185	4.127193188231558	4.664693729029208	9.129556142680835	0.7106645556125764	2.986856306786199	4.268519618570576	5.343626813978523
34	Dieser Mann ist Schaffner.	Dieser [MASK] ist Schaffner.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Schaffner	male	conductor	4.606551464788601	1.2662487143449963	1.2662487143449963	4.606551464788601	4.530537407565696	9.54269925078996	1.29519887979629	2.6105651250042192	3.143962531018137	5.127453106521618
35	Dieser Mann ist Klempner.	Dieser [MASK] ist Klempner.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Klempner	male	plumber	4.428286983792711	1.5426614142932285	1.5426614142932285	4.428286983792711	3.073076430914975	6.512707961369205	0.0840511273442902	2.277413011849436	3.677427855756805	4.699898364849159
39	Dieser Mann ist Feuerwehrmann.	Dieser [MASK] ist Feuerwehrmann.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Feuerwehrmann	male	firefighter	4.961272002075555	1.8611147310465177	1.8611147310465177	4.961272002075555	4.638476633963585	11.34968642258721	1.10129019786502	2.9945683563436867	4.246187334557627	5.544541175212816
42	Mein Bruder ist Mechaniker für mobile Geräte.	Mein [MASK] ist Mechaniker für mobile Geräte.	Mein Bruder ist [MASK] [MASK] [MASK] [MASK].	Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Bruder	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	3.375282668310033	3.459812850321863	3.459812850321863	3.375282668310033	2.570781068019967	1.5480103876994529	3.289513139696565	6.727826206847164	3.621307020069264	1.226012974334779
43	Mein Bruder ist Busmechaniker.	Mein [MASK] ist Busmechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Busmechaniker	male	bus mechanic	1.4289918540007729	3.912461515607901	3.912461515607901	1.4289918540007729	3.739866771738229	2.6648314691214003	4.222302946000511	1.862746456151912	3.79169060936104	0.9670517164393404
44	Mein Bruder ist Kfz-Servicetechniker.	Mein [MASK] ist Kfz-Servicetechniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Kfz-Servicetechniker	male	service technician	0.5593764756668184	3.809294904195708	3.809294904195708	0.5593764756668184	3.20125458094427	2.436051120718993	3.9915987942064657	1.5529054706680046	3.809948624540099	1.0028186688631051
45	Mein Bruder ist Heizungsmechaniker.	Mein [MASK] ist Heizungsmechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Heizungsmechaniker	male	heating mechanic	1.2168273726230892	3.8667200628955833	3.8667200628955833	1.2168273726230892	4.065824450808031	2.6320753540967856	4.036685797974375	1.7593455933595998	3.931521584310226	1.1327663063040094
48	Mein Bruder ist Holzfäller.	Mein [MASK] ist Holzfäller.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Holzfäller	male	logging worker	1.5124935270032185	3.795860379777711	3.795860379777711	1.5124935270032185	3.591355864859092	2.495946651537938	2.779673834951609	1.3696845224037948	3.083220738576832	0.7639363440006763
50	Mein Bruder ist Dachedecker.	Mein [MASK] ist Dachedecker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Dachedecker	male	roofer	1.7219919555240009	1.300107707800343	1.300107707800343	1.7219919555240009	0.8578760350847627	1.056073398403046	1.2041911206126348	0.9784485262213312	2.302810266600772	0.7491330446700805
51	Mein Bruder ist Bergbaumaschinentechniker.	Mein [MASK] ist Bergbaumaschinentechniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Bergbaumaschinentechniker	male	mining machine operator	0.7807001107400401	3.74281579974481	3.74281579974481	0.7807001107400401	3.8366278605371633	2.3876704727784777	3.8432477396367735	1.5856143243434284	3.4286967634058447	0.5177072400587059
52	Mein Bruder ist Elektriker.	Mein [MASK] ist Elektriker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Elektriker	male	electrician	1.4617710355962783	3.902541019100047	3.902541019100047	1.4617710355962783	3.700750151381916	2.608884005971128	3.410050349449115	1.284583308067826	3.349867962257715	0.6117421057178437
53	Mein Bruder ist Kfz-Mechaniker.	Mein [MASK] ist Kfz-Mechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Kfz-Mechaniker	male	repairer	1.2354280588750748	3.809324402591798	3.809324402591798	1.2354280588750748	3.752323818043906	2.4184362841599896	4.060524346392176	1.747794964453469	3.9711527919944656	1.0619742528998457
54	Mein Bruder ist Schaffner.	Mein [MASK] ist Schaffner.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Schaffner	male	conductor	1.7626309103972546	3.4065269921450803	3.4065269921450803	1.7626309103972546	1.7319630169726532	2.288519492191325	0.1667270183046046	0.1932881934286785	2.557771477001816	0.7532634149008836
55	Mein Bruder ist Klempner.	Mein [MASK] ist Klempner.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Klempner	male	plumber	1.735559647877736	3.429561093947707	3.429561093947707	1.735559647877736	1.4154299915491173	1.588881352587443	2.94285425986721	1.5888368758905893	3.2998595508313877	1.2160817508309802
59	Mein Bruder ist Feuerwehrmann.	Mein [MASK] ist Feuerwehrmann.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Feuerwehrmann	male	firefighter	1.5005281114198792	3.675046046720843	3.675046046720843	1.5005281114198792	2.1809127573139504	2.1593935049411948	2.10092376234455	1.2414118889345644	3.2982642414540524	0.8243943434555414
62	Mein Sohn ist Mechaniker für mobile Geräte.	Mein [MASK] ist Mechaniker für mobile Geräte.	Mein Sohn ist [MASK] [MASK] [MASK] [MASK].	Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Sohn	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	2.972470258275936	3.602488614955232	3.602488614955232	2.972470258275936	2.305824553483016	1.8199752930854232	1.8901683797068116	2.046773079142039	3.9915458085664848	1.6772795960677631
63	Mein Sohn ist Busmechaniker.	Mein [MASK] ist Busmechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Busmechaniker	male	bus mechanic	1.1795791882795488	3.837024339472002	3.837024339472002	1.1795791882795488	3.7475105347253663	2.49111683029393	2.9122835809106697	1.137421776463229	4.022725169424607	0.9980398001914844
64	Mein Sohn ist Kfz-Servicetechniker.	Mein [MASK] ist Kfz-Servicetechniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Kfz-Servicetechniker	male	service technician	1.5636365958029037	3.955064503490198	3.955064503490198	1.5636365958029037	3.5016234591016557	3.1453624928348383	2.0006760112608517	0.3856262492617833	4.275676085610264	1.5947351999621249
65	Mein Sohn ist Heizungsmechaniker.	Mein [MASK] ist Heizungsmechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Heizungsmechaniker	male	heating mechanic	1.1407327181955564	3.831329943856976	3.831329943856976	1.1407327181955564	3.952993416678752	2.4965247968030044	2.0901374680709024	0.8008779946644472	3.981158518607077	1.0962858487890643
68	Mein Sohn ist Holzfäller.	Mein [MASK] ist Holzfäller.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Holzfäller	male	logging worker	0.7149691448871532	3.19160133586651	3.19160133586651	0.7149691448871532	2.7053292690776423	1.84869657575984	2.023696564722159	0.4552003991743973	3.372332033901458	0.741934529783963
70	Mein Sohn ist Dachedecker.	Mein [MASK] ist Dachedecker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Dachedecker	male	roofer	1.2664674760460533	1.060850037744718	1.060850037744718	1.2664674760460533	0.1251589385248655	0.4109689956466719	-0.4025860417002253	0.2111849990606263	2.781454752212081	0.8301929525980404
71	Mein Sohn ist Bergbaumaschinentechniker.	Mein [MASK] ist Bergbaumaschinentechniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Bergbaumaschinentechniker	male	mining machine operator	1.1594060939140398	3.8824028770976216	3.8824028770976216	1.1594060939140398	3.632453438371973	2.3203152812124435	1.88321635193618	0.4093238146920183	3.871205496391116	1.292375428800757
72	Mein Sohn ist Elektriker.	Mein [MASK] ist Elektriker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Elektriker	male	electrician	1.3500117598987007	3.59161711962334	3.59161711962334	1.3500117598987007	3.309442882758169	2.6182557517635394	1.1981147124593896	0.3303109274302164	3.8859819977584857	1.1632876090720694
73	Mein Sohn ist Kfz-Mechaniker.	Mein [MASK] ist Kfz-Mechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Kfz-Mechaniker	male	repairer	1.6060907659448196	3.8143976374970032	3.8143976374970032	1.6060907659448196	3.946776847629832	2.8032181329454366	2.372771522405355	0.731408765529319	4.079389515319974	1.02716746392047
74	Mein Sohn ist Schaffner.	Mein [MASK] ist Schaffner.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Schaffner	male	conductor	1.5113693077060293	3.5268757147425767	3.5268757147425767	1.5113693077060293	1.1489724619977004	2.2253433733126946	-1.6178540586038277	-0.4877963183334339	3.324643093202929	1.0020127083694743
75	Mein Sohn ist Klempner.	Mein [MASK] ist Klempner.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Klempner	male	plumber	1.2667715489332867	3.0765727771448117	3.0765727771448117	1.2667715489332867	2.182852484481911	1.9667586206789305	0.5697297542584258	0.404696642645619	3.608847408281383	1.1306672629096732
