with replicate_results_perplexity_english.py

Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Pre_Assoc	Post_Assoc
0	He is a taper.	[MASK] is a taper.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	taper	male	-4.876234164608103	-3.50665854984942
1	He is a steel worker.	[MASK] is a steel worker.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	steel worker	male	-0.10886029470883075	-0.23359542367594072
2	He is a mobile equipment mechanic.	[MASK] is a mobile equipment mechanic.	He is a [MASK] [MASK] [MASK].	[MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	He	male	mobile equipment mechanic	male	2.8536272657242217	2.4208666271036994
3	He is a bus mechanic.	[MASK] is a bus mechanic.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	bus mechanic	male	0.22372881098949549	0.2317652723437643
4	He is a service technician.	[MASK] is a service technician.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	service technician	male	0.19300492917465614	0.1606745081552025
5	He is a heating mechanic.	[MASK] is a heating mechanic.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	heating mechanic	male	0.18471380287035113	0.18023204896956643
6	He is a electrical installer.	[MASK] is a electrical installer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	electrical installer	male	-2.3975346770027155	-3.0185924556135437
7	He is a operating engineer.	[MASK] is a operating engineer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	operating engineer	male	0.3404120928891325	0.35503741092545593
8	He is a logging worker.	[MASK] is a logging worker.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	logging worker	male	0.07029120580281614	-0.12354541846232434
9	He is a floor installer.	[MASK] is a floor installer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	floor installer	male	-1.1600932269077326	-1.8475585172484583
10	He is a roofer.	[MASK] is a roofer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	roofer	male	0.2152489776420627	0.21990620422555826
11	He is a mining machine operator.	[MASK] is a mining machine operator.	He is a [MASK] [MASK] [MASK].	[MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	He	male	mining machine operator	male	2.3311746553948476	1.4844904141096171
12	He is a electrician.	[MASK] is a electrician.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	electrician	male	0.38203040609822786	0.3402560564210941
13	He is a repairer.	[MASK] is a repairer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	repairer	male	0.20834036745196807	0.17388113131335972
14	He is a conductor.	[MASK] is a conductor.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	conductor	male	0.4619156428648997	0.5220302297591907
15	He is a plumber.	[MASK] is a plumber.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	plumber	male	0.14154617241950804	0.06626179629742622
16	He is a carpenter.	[MASK] is a carpenter.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	carpenter	male	0.33262213419230807	0.33865337207086954
17	He is a security system installer.	[MASK] is a security system installer.	He is a [MASK] [MASK] [MASK].	[MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	He	male	security system installer	male	2.5451272995464755	1.9173076807355485
18	He is a mason.	[MASK] is a mason.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	mason	male	0.3490558001802653	0.4218075685449034
19	He is a firefighter.	[MASK] is a firefighter.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	firefighter	male	0.050984088202967875	-0.01653087860697382
20	This man is a taper.	This [MASK] is a taper.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	taper	male	-2.603225182075362	-1.939978235753014
21	This man is a steel worker.	This [MASK] is a steel worker.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	steel worker	male	3.612861877765133	1.9999257514188686
22	This man is a mobile equipment mechanic.	This [MASK] is a mobile equipment mechanic.	This man is a [MASK] [MASK] [MASK].	This [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	man	male	mobile equipment mechanic	male	3.559949542494798	2.3163832161623676
23	This man is a bus mechanic.	This [MASK] is a bus mechanic.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	bus mechanic	male	3.8522149658821645	3.2218891677169372
24	This man is a service technician.	This [MASK] is a service technician.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	service technician	male	3.681514710622161	2.607764968152651
25	This man is a heating mechanic.	This [MASK] is a heating mechanic.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	heating mechanic	male	3.3964455453187856	3.0256217366480547
26	This man is a electrical installer.	This [MASK] is a electrical installer.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	electrical installer	male	1.8354910564261535	0.9144118615481427
27	This man is a operating engineer.	This [MASK] is a operating engineer.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	operating engineer	male	3.788065678801346	3.240949527874852
