Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc	Post_Assoc
0	Er ist Trockenbaumontagekraft.	[MASK] ist Trockenbaumontagekraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Trockenbaumontagekraft	male	taper	0.06816942437267659	-4.626919599426056
1	Er ist Stahlarbeitskraft.	[MASK] ist Stahlarbeitskraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Stahlarbeitskraft	male	steel worker	2.169145064358565	0.2573483670471328
2	Er ist Fachkraft für mobile Geräte.	[MASK] ist Fachkraft für mobile Geräte.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK]   .	<person subject> ist <profession>.	Er	male	Fachkraft für mobile Geräte	male	mobile equipment mechanic	4.749343499908377	-3.906956975255388
3	Er ist Mechanik Fachkraft für Busse.	[MASK] ist Mechanik Fachkraft für Busse.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Mechanik Fachkraft für Busse	male	bus mechanic	6.074438152884555	-3.4338842708421673
4	Er ist Kfz-Servicetechnikfachkraft.	[MASK] ist Kfz-Servicetechnikfachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechnikfachkraft	male	service technician	1.6665721886442433	-3.824475918899046
5	Er ist Fachkraft für Heizungstechnik.	[MASK] ist Fachkraft für Heizungstechnik.	Er ist [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Heizungstechnik	male	heating mechanic	5.9174416977338655	-4.358676700249149
6	Er ist Elektrofachkraft.	[MASK] ist Elektrofachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektrofachkraft	male	electrical installer	2.1506743144407094	-0.08226716721875654
7	Er ist Betriebsingenieur*in.	[MASK] ist Betriebsingenieur*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Betriebsingenieur*in	male	operating engineer	2.194381285230364	0.27318697830190236
8	Er ist Fachkraft für Holz-und Bautenschutzarbeiten.	[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Holz-und Bautenschutzarbeiten	male	logging worker	5.865719807292523	-6.108095500165166
9	Er ist Bodenleger*in.	[MASK] ist Bodenleger*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bodenleger*in	male	floor installer	1.9184351821042145	0.27088388792771334
10	Er ist Dachdecker*in.	[MASK] ist Dachdecker*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachdecker*in	male	roofer	1.6560458404829665	0.2587616596528828
