Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc
0	Er ist Trockenbaumonteur.	[MASK] ist Trockenbaumonteur.	Er ist [PROF].	[MASK] ist [PROF].	<person subject> ist <profession>.	Er	male	Trockenbaumonteur	male	taper	2.453074442166006
1	Er ist Stahlarbeiter.	[MASK] ist Stahlarbeiter.	Er ist [PROF].	[MASK] ist [PROF].	<person subject> ist <profession>.	Er	male	Stahlarbeiter	male	steel worker	2.160721512889472
2	Er ist Mechaniker für mobile Geräte.	[MASK] ist Mechaniker für mobile Geräte.	Er ist [PROF] [PROF] [PROF] [PROF].	[MASK] ist [PROF] [PROF] [PROF] [PROF].	<person subject> ist <profession>.	Er	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	4.894789793793492
3	Er ist Busmechaniker.	[MASK] ist Busmechaniker.	Er ist [PROF].	[MASK] ist [PROF].	<person subject> ist <profession>.	Er	male	Busmechaniker	male	bus mechanic	2.4000927538934724
4	Er ist Kfz-Servicetechniker.	[MASK] ist Kfz-Servicetechniker.	Er ist [PROF].	[MASK] ist [PROF].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechniker	male	service technician	2.381212249713152
5	Er ist Heizungsmechaniker.	[MASK] ist Heizungsmechaniker.	Er ist [PROF].	[MASK] ist [PROF].	<person subject> ist <profession>.	Er	male	Heizungsmechaniker	male	heating mechanic	2.369700879083829
6	Er ist Elektroinstallateur.	[MASK] ist Elektroinstallateur.	Er ist [PROF].	[MASK] ist [PROF].	<person subject> ist <profession>.	Er	male	Elektroinstallateur	male	electrical installer	2.396513443917458
7	Er ist Betriebsingenieur.	[MASK] ist Betriebsingenieur.	Er ist [PROF].	[MASK] ist [PROF].	<person subject> ist <profession>.	Er	male	Betriebsingenieur	male	operating engineer	2.3739439426944227
8	Er ist Holzfäller.	[MASK] ist Holzfäller.	Er ist [PROF].	[MASK] ist [PROF].	<person subject> ist <profession>.	Er	male	Holzfäller	male	logging worker	2.118016388302917
9	Er ist Bodenleger.	[MASK] ist Bodenleger.	Er ist [PROF].	[MASK] ist [PROF].	<person subject> ist <profession>.	Er	male	Bodenleger	male	floor installer	2.317108226317939
