Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN
0	Er ist Trockenbaumontagekraft.	[MASK] ist Trockenbaumontagekraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Trockenbaumontagekraft	male	taper
1	Er ist Stahlarbeitskraft.	[MASK] ist Stahlarbeitskraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Stahlarbeitskraft	male	steel worker
2	Er ist Fachkraft für mobile Geräte.	[MASK] ist Fachkraft für mobile Geräte.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für mobile Geräte	male	mobile equipment mechanic
3	Er ist Mechanik Fachkraft für Busse.	[MASK] ist Mechanik Fachkraft für Busse.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Mechanik Fachkraft für Busse	male	bus mechanic
4	Er ist Kfz-Servicetechnikfachkraft.	[MASK] ist Kfz-Servicetechnikfachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechnikfachkraft	male	service technician
5	Er ist Fachkraft für Heizungstechnik.	[MASK] ist Fachkraft für Heizungstechnik.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Heizungstechnik	male	heating mechanic
6	Er ist Elektrofachkraft.	[MASK] ist Elektrofachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektrofachkraft	male	electrical installer
7	Er ist Betriebsingenieur*in.	[MASK] ist Betriebsingenieur*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Betriebsingenieur*in	male	operating engineer
8	Er ist Fachkraft für Holz-und Bautenschutzarbeiten.	[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Holz-und Bautenschutzarbeiten	male	logging worker
9	Er ist Bodenleger*in.	[MASK] ist Bodenleger*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bodenleger*in	male	floor installer
10	Er ist Dachdecker*in.	[MASK] ist Dachdecker*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachdecker*in	male	roofer
11	Er ist Bergbaumaschinentechnikfachkraft.	[MASK] ist Bergbaumaschinentechnikfachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bergbaumaschinentechnikfachkraft	male	mining machine operator
