Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Pre_Assoc	Post_Assoc
0	He is a taper.	[MASK] is a taper.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	taper	male	-4.94062456380993	-0.5199566532820769
1	He is a steel worker.	[MASK] is a steel worker.	He is a [MASK] [MASK] .	[MASK] is a [MASK] [MASK] .	<person subject> is a <profession>.	He	male	steel worker	male	-0.10886029470883075	-0.29774889585665865
2	He is a mobile equipment mechanic.	[MASK] is a mobile equipment mechanic.	He is a [MASK] [MASK] [MASK]  .	[MASK] is a [MASK] [MASK] [MASK]  .	<person subject> is a <profession>.	He	male	mobile equipment mechanic	male	0.2861036133773883	-0.17153399448623188
3	He is a bus mechanic.	[MASK] is a bus mechanic.	He is a [MASK] [MASK] .	[MASK] is a [MASK] [MASK] .	<person subject> is a <profession>.	He	male	bus mechanic	male	0.22372881098949549	-0.09207105578948091
4	He is a service technician.	[MASK] is a service technician.	He is a [MASK] [MASK] .	[MASK] is a [MASK] [MASK] .	<person subject> is a <profession>.	He	male	service technician	male	0.19300492917465614	-0.5836249476121964
5	He is a heating mechanic.	[MASK] is a heating mechanic.	He is a [MASK] [MASK] .	[MASK] is a [MASK] [MASK] .	<person subject> is a <profession>.	He	male	heating mechanic	male	0.18471380287035113	-0.22511230171755994
6	He is a electrical installer.	[MASK] is a electrical installer.	He is a [MASK] [MASK] [MASK] .	[MASK] is a [MASK] [MASK] [MASK] .	<person subject> is a <profession>.	He	male	electrical installer	male	0.21705060212455257	-0.4512142881007838
7	He is a operating engineer.	[MASK] is a operating engineer.	He is a [MASK] [MASK] .	[MASK] is a [MASK] [MASK] .	<person subject> is a <profession>.	He	male	operating engineer	male	0.3404120928891325	-0.8923578833147693
8	He is a logging worker.	[MASK] is a logging worker.	He is a [MASK] [MASK] .	[MASK] is a [MASK] [MASK] .	<person subject> is a <profession>.	He	male	logging worker	male	0.07029120580281614	-0.48363694614719305
9	He is a floor installer.	[MASK] is a floor installer.	He is a [MASK] [MASK] [MASK] .	[MASK] is a [MASK] [MASK] [MASK] .	<person subject> is a <profession>.	He	male	floor installer	male	0.2825693248892614	-0.5575543608747551
10	He is a roofer.	[MASK] is a roofer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	roofer	male	0.1508585784402364	-0.351399891571578
