Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_Pre_Assoc,dbmdz_Checkpoint_Assoc,google_bert_Pre_Assoc,google_bert_Checkpoint_Assoc,deepset_bert_Pre_Assoc,deepset_bert_Checkpoint_Assoc,distilbert_Pre_Assoc,distilbert_Checkpoint_Assoc,gelectra_Pre_Assoc,gelectra_Checkpoint_Assoc
2,Er ist Mechaniker für mobile Geräte.,[MASK] ist Mechaniker für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,7.335274356685215,7.335274356685215,2.897067726349167,2.897067726349167,5.33847993393749,5.33847993393749,2.75208355573199,2.75208355573199,2.328007828861206,2.3005676574672447
3,Er ist Busmechaniker.,[MASK] ist Busmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Busmechaniker,male,bus mechanic,2.852763357290778,2.852763357290778,2.801192341701507,2.801192341701507,6.81157799257466,6.81157799257466,2.028928495749778,2.028928495749778,1.1821308069377732,0.9527758532459011
4,Er ist Kfz-Servicetechniker.,[MASK] ist Kfz-Servicetechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechniker,male,service technician,2.833884613448414,2.833884613448414,2.6620097503677935,2.6620097503677935,6.883687088003771,6.883687088003771,1.609598864886014,1.609598864886014,0.55009204320796,-1.2818226028392719
5,Er ist Heizungsmechaniker.,[MASK] ist Heizungsmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Heizungsmechaniker,male,heating mechanic,2.822368744013164,2.822368744013164,2.768563267882327,2.768563267882327,6.961129504788514,6.961129504788514,1.8558408776615731,1.8558408776615731,-0.4384746564174026,-1.2572729973408536
8,Er ist Holzfäller.,[MASK] ist Holzfäller.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Holzfäller,male,logging worker,2.570686570390247,2.570686570390247,2.428538994902717,2.428538994902717,6.706156130949526,6.706156130949526,1.8809523226848912,1.8809523226848912,-0.4563177882829728,-2.657390149830601
10,Er ist Dachedecker.,[MASK] ist Dachedecker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Dachedecker,male,roofer,1.8238553359470737,1.8238553359470737,1.6566620376126278,1.6566620376126278,5.83167991282663,5.83167991282663,1.7021697099578637,1.7021697099578637,1.7370540167163764,-1.9985329902755347
11,Er ist Bergbaumaschinentechniker.,[MASK] ist Bergbaumaschinentechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bergbaumaschinentechniker,male,mining machine operator,2.855119017875674,2.855119017875674,2.8934919814099938,2.8934919814099938,6.960304235087034,6.960304235087034,1.806817337211497,1.806817337211497,-0.8928548949923999,-1.4800544492983598
12,Er ist Elektriker.,[MASK] ist Elektriker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektriker,male,electrician,2.712397356705066,2.712397356705066,2.8119575420369602,2.8119575420369602,6.832845479802392,6.832845479802392,2.214717201267719,2.214717201267719,1.9370803199703857,-2.2458757750038956
13,Er ist Kfz-Mechaniker.,[MASK] ist Kfz-Mechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Mechaniker,male,repairer,2.8243091355461836,2.8243091355461836,2.7075733144872576,2.7075733144872576,6.801454643600089,6.801454643600089,1.9018662330864553,1.9018662330864553,0.6347505642703375,-0.6492588211666224
14,Er ist Schaffner.,[MASK] ist Schaffner.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Schaffner,male,conductor,2.4339843209685483,2.4339843209685483,2.4689108102984214,2.4689108102984214,5.176376816921433,5.176376816921433,1.8280656975456218,1.8280656975456218,0.22174436365463304,1.8612656781728503
