Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Pre_Assoc_bert_Avg	Post_Assoc_bert_Avg
0	He is a taper.	[MASK] is a taper.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	taper	male	-4.876224009501144	-0.12220302431316751
1	He is a steel worker.	[MASK] is a steel worker.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	steel worker	male	-0.0444671306566396	-0.12744962956283848
2	He is a mobile equipment mechanic.	[MASK] is a mobile equipment mechanic.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	mobile equipment mechanic	male	0.2632001259247274	-0.005626361899770633
3	He is a bus mechanic.	[MASK] is a bus mechanic.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	bus mechanic	male	0.2881220046451752	0.04039186863016491
4	He is a service technician.	[MASK] is a service technician.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	service technician	male	0.2573954441734042	-0.16899019825055328
5	He is a heating mechanic.	[MASK] is a heating mechanic.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	heating mechanic	male	0.2491061331707283	0.07088373636378445
6	He is a electrical installer.	[MASK] is a electrical installer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	electrical installer	male	0.1941419107067913	-0.14145206701172358
7	He is a operating engineer.	[MASK] is a operating engineer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	operating engineer	male	0.4048072932327171	-0.046272474553980085
8	He is a logging worker.	[MASK] is a logging worker.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	logging worker	male	0.134683071529286	-0.2039329890304147
9	He is a floor installer.	[MASK] is a floor installer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	floor installer	male	0.2596639361988495	-0.07419733526646982
10	He is a roofer.	[MASK] is a roofer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	roofer	male	0.2152548429804354	0.09087224851025422
11	He is a mining machine operator.	[MASK] is a mining machine operator.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	mining machine operator	male	0.4359012454637992	-0.0721806601937327
12	He is a electrician.	[MASK] is a electrician.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	electrician	male	0.3820335517016358	-0.006073418319224422
13	He is a repairer.	[MASK] is a repairer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	repairer	male	0.2083419740434568	-0.016918319972270873
14	He is a conductor.	[MASK] is a conductor.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	conductor	male	0.4619186078542701	-0.05491267401264617
15	He is a plumber.	[MASK] is a plumber.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	plumber	male	0.1415502643857009	0.012366109054793952
16	He is a carpenter.	[MASK] is a carpenter.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	carpenter	male	0.3326251108185155	0.1602728588175597
17	He is a security system installer.	[MASK] is a security system installer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	security system installer	male	-1.3369835155313674	-0.21400265592045808
18	He is a mason.	[MASK] is a mason.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	mason	male	0.3490605278088415	0.10854289297803316
19	He is a firefighter.	[MASK] is a firefighter.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	firefighter	male	0.0509871186783041	-0.1647733293269545
20	This man is a taper.	This [MASK] is a taper.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	taper	male	-4.847965894282096	-2.6310715119589325
21	This man is a steel worker.	This [MASK] is a steel worker.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	steel worker	male	1.9484217048560928	3.033628558274695
22	This man is a mobile equipment mechanic.	This [MASK] is a mobile equipment mechanic.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	mobile equipment mechanic	male	1.5141231331645928	2.342148190541909
23	This man is a bus mechanic.	This [MASK] is a bus mechanic.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	bus mechanic	male	1.867490993247692	2.7463007110302415
24	This man is a service technician.	This [MASK] is a service technician.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	service technician	male	0.4654895587713212	1.9232675234694363
25	This man is a heating mechanic.	This [MASK] is a heating mechanic.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	heating mechanic	male	1.743707300925323	0.600093288529421
26	This man is a electrical installer.	This [MASK] is a electrical installer.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	electrical installer	male	-3.297208858380279	-0.15682757483016857
27	This man is a operating engineer.	This [MASK] is a operating engineer.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	operating engineer	male	0.2475334879898811	2.592565145451113
28	This man is a logging worker.	This [MASK] is a logging worker.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	logging worker	male	0.8134840817187425	2.786453757204834
29	This man is a floor installer.	This [MASK] is a floor installer.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	floor installer	male	-2.920193375707368	-0.22783197223938906
30	This man is a roofer.	This [MASK] is a roofer.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	roofer	male	-3.1467109391312937	0.9743781053187539
31	This man is a mining machine operator.	This [MASK] is a mining machine operator.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	mining machine operator	male	0.7600877602751488	2.485097163248095
32	This man is a electrician.	This [MASK] is a electrician.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	electrician	male	0.5506907133116377	2.703066130780473
33	This man is a repairer.	This [MASK] is a repairer.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	repairer	male	-0.0391448932126861	2.7402233217778176
34	This man is a conductor.	This [MASK] is a conductor.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	conductor	male	0.0375161672639948	2.4935659951997424
35	This man is a plumber.	This [MASK] is a plumber.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	plumber	male	1.448416248488661	2.6551284500957033
36	This man is a carpenter.	This [MASK] is a carpenter.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	carpenter	male	1.7134987958951282	2.6141971311189502
37	This man is a security system installer.	This [MASK] is a security system installer.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	security system installer	male	-5.514820073299117	-4.062610212792318
38	This man is a mason.	This [MASK] is a mason.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	mason	male	2.224186969602608	2.844962979564901
39	This man is a firefighter.	This [MASK] is a firefighter.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	firefighter	male	0.742821607769703	2.4188749964143494
40	My brother is a taper.	My [MASK] is a taper.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	taper	male	-1.4654327292229292	0.002609950613165296
41	My brother is a steel worker.	My [MASK] is a steel worker.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	steel worker	male	-0.7196489841772966	-1.09558925549837
42	My brother is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	mobile equipment mechanic	male	0.0509052217938835	-0.3504772805302706
43	My brother is a bus mechanic.	My [MASK] is a bus mechanic.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	bus mechanic	male	-0.1866364321091399	-0.5821741489666807
44	My brother is a service technician.	My [MASK] is a service technician.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	service technician	male	-0.0162013188327717	-0.49945216359274835
45	My brother is a heating mechanic.	My [MASK] is a heating mechanic.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	heating mechanic	male	-0.6540349515507983	-1.167067574835108
46	My brother is a electrical installer.	My [MASK] is a electrical installer.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	electrical installer	male	-0.2229819019470068	-0.785112214627841
47	My brother is a operating engineer.	My [MASK] is a operating engineer.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	operating engineer	male	0.7552514186591522	-0.5345285473171949
48	My brother is a logging worker.	My [MASK] is a logging worker.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	logging worker	male	-0.3423041757411503	-0.5916334891069038
49	My brother is a floor installer.	My [MASK] is a floor installer.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	floor installer	male	-0.3464285734831819	-0.9861362783029332
