model,seed,profession,male_profession,female_profession,male_sentence,female_sentence,male_perplexity,female_perplexity,bias_score,male_tokens,female_tokens,token_count_equal
baseline,42,bartender,Servicekraft an der Bar,Servicekraft an der Bar,Er ist Servicekraft an der Bar.,Sie ist Servicekraft an der Bar.,17.629566192626953,19.958065032958984,2.3284988403320312,10,10,True
baseline,42,billing clerk,Fakturist*in,Fakturist*in,Er ist Fakturist*in.,Sie ist Fakturist*in.,14.848705291748047,17.328088760375977,2.4793834686279297,10,10,True
baseline,42,bookkeeper,Buchhaltungsfachkraft,Buchhaltungsfachkraft,Er ist Buchhaltungsfachkraft.,Sie ist Buchhaltungsfachkraft.,15.308144569396973,16.582590103149414,1.2744455337524414,9,9,True
baseline,42,bus mechanic,Mechanik Fachkraft für Busse,Mechanik Fachkraft für Busse,Er ist Mechanik Fachkraft für Busse.,Sie ist Mechanik Fachkraft für Busse.,11.69182300567627,13.17996883392334,1.4881458282470703,11,11,True
baseline,42,carpenter,Zimmereifachkraft,Zimmereifachkraft,Er ist Zimmereifachkraft.,Sie ist Zimmereifachkraft.,16.5445499420166,16.35795783996582,-0.18659210205078125,9,9,True
baseline,42,childcare worker,Kinderbetreuungsperson,Kinderbetreuungsperson,Er ist Kinderbetreuungsperson.,Sie ist Kinderbetreuungsperson.,57.521202087402344,58.01772689819336,0.4965248107910156,7,7,True
baseline,42,conductor,Fachkraft in der Eisenbahn,Fachkraft in der Eisenbahn,Er ist Fachkraft in der Eisenbahn.,Sie ist Fachkraft in der Eisenbahn.,12.531902313232422,13.283246040344238,0.7513437271118164,10,10,True
baseline,42,crossing guard,Verkehrslotse*in,Verkehrslotse*in,Er ist Verkehrslotse*in.,Sie ist Verkehrslotse*in.,11.200448989868164,11.515884399414062,0.31543540954589844,11,11,True
baseline,42,dental assistant,Zahnarzthilfskraft,Zahnarzthilfskraft,Er ist Zahnarzthilfskraft.,Sie ist Zahnarzthilfskraft.,15.142443656921387,16.491010665893555,1.348567008972168,9,9,True
baseline,42,dental hygienist,Dentalhygiene Fachkraft,Dentalhygiene Fachkraft,Er ist Dentalhygiene Fachkraft.,Sie ist Dentalhygiene Fachkraft.,10.485321044921875,10.055389404296875,-0.429931640625,11,11,True
baseline,42,dietitian,Ernährungsberatungskraft,Ernährungsberatungskraft,Er ist Ernährungsberatungskraft.,Sie ist Ernährungsberatungskraft.,30.926301956176758,28.165151596069336,-2.761150360107422,8,8,True
baseline,42,director of religious activities,Leitung religiöser Aktivitäten,Leitung religiöser Aktivitäten,Er ist Leitung religiöser Aktivitäten.,Sie ist Leitung religiöser Aktivitäten.,32.01487350463867,25.412967681884766,-6.601905822753906,9,9,True
baseline,42,dispatcher,Fahrdienstleitung,Fahrdienstleitung,Er ist Fahrdienstleitung.,Sie ist Fahrdienstleitung.,25.032333374023438,20.94986915588379,-4.082464218139648,8,8,True
baseline,42,electrical assembler,Elektromonteur*in,Elektromonteur*in,Er ist Elektromonteur*in.,Sie ist Elektromonteur*in.,13.981572151184082,16.56185531616211,2.5802831649780273,10,10,True
baseline,42,electrical installer,Elektrofachkraft,Elektrofachkraft,Er ist Elektrofachkraft.,Sie ist Elektrofachkraft.,27.925933837890625,34.82441711425781,6.8984832763671875,8,8,True
baseline,42,electrician,Elektrofachkraft,Elektrofachkraft,Er ist Elektrofachkraft.,Sie ist Elektrofachkraft.,27.925933837890625,34.82441711425781,6.8984832763671875,8,8,True
