Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc	Post_Assoc_Avg	Post_Assoc_google_bert_Avg	Pre_Assoc_google_bert_Avg	Post_Assoc_deepset_bert_Avg	Pre_Assoc_deepset_bert_Avg
0	Er ist Trockenbaumontagekraft.	[MASK] ist Trockenbaumontagekraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Trockenbaumontagekraft	male	taper	-0.9391837687819532	1.1660087332946123	1.1660087332946123	-0.9391837687819532	3.2406229705475798	5.514864972615433
1	Er ist Stahlarbeitskraft.	[MASK] ist Stahlarbeitskraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Stahlarbeitskraft	male	steel worker	1.4107481537509865	4.034374632227324	4.034374632227324	1.4107481537509865	3.2258824442430702	5.205994937842265
2	Er ist Fachkraft für mobile Geräte.	[MASK] ist Fachkraft für mobile Geräte.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK]   .	<person subject> ist <profession>.	Er	male	Fachkraft für mobile Geräte	male	mobile equipment mechanic	1.630882258834927	2.0079256281130062	2.0079256281130062	1.630882258834927	1.8243667438065951	3.182048885899842
3	Er ist Mechanik Fachkraft für Busse.	[MASK] ist Mechanik Fachkraft für Busse.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Mechanik Fachkraft für Busse	male	bus mechanic	1.7407925864389322	0.2844013371370588	0.2844013371370588	1.7407925864389322	3.128971519428731	4.026025542571149
4	Er ist Kfz-Servicetechnikfachkraft.	[MASK] ist Kfz-Servicetechnikfachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechnikfachkraft	male	service technician	1.2586977393927214	3.519039037622539	3.519039037622539	1.2586977393927214	4.086111984793406	5.449483086286049
5	Er ist Fachkraft für Heizungstechnik.	[MASK] ist Fachkraft für Heizungstechnik.	Er ist [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Heizungstechnik	male	heating mechanic	1.8418950772183176	2.807971782521146	2.807971782521146	1.8418950772183176	2.9233428526366905	4.248382665927244
6	Er ist Elektrofachkraft.	[MASK] ist Elektrofachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektrofachkraft	male	electrical installer	1.658850143234872	3.510652566215545	3.510652566215545	1.658850143234872	4.370977803162819	5.661113930171984
7	Er ist Betriebsingenieur*in.	[MASK] ist Betriebsingenieur*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Betriebsingenieur*in	male	operating engineer	2.14310822299626	6.098440538864934	6.098440538864934	2.14310822299626	5.135809192031628	6.762723720277843
8	Er ist Fachkraft für Holz-und Bautenschutzarbeiten.	[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Holz-und Bautenschutzarbeiten	male	logging worker	1.5153588393544926	2.5529703622959428	2.5529703622959428	1.5153588393544926	1.9795747622075497	3.404516631520111
9	Er ist Bodenleger*in.	[MASK] ist Bodenleger*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bodenleger*in	male	floor installer	1.85704549411608	5.746150093932277	5.746150093932277	1.85704549411608	4.528606694793048	6.393265579333033
10	Er ist Dachdecker*in.	[MASK] ist Dachdecker*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachdecker*in	male	roofer	2.095775169539447	5.757015030628438	5.757015030628438	2.095775169539447	5.1326537319677055	6.322028819840053
11	Er ist Bergbaumaschinentechnikfachkraft.	[MASK] ist Bergbaumaschinentechnikfachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bergbaumaschinentechnikfachkraft	male	mining machine operator	1.6839397158204068	3.605587918896541	3.605587918896541	1.6839397158204068	4.034692051330429	5.56297578705312
12	Er ist Elektrofachkraft.	[MASK] ist Elektrofachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektrofachkraft	male	electrician	1.658850143234872	3.510652566215545	3.510652566215545	1.658850143234872	4.370977803162819	5.661113930171984
