Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc	Post_Assoc_Avg	Post_Assoc_dbmdz_Avg	Pre_Assoc_dbmdz_Avg	Post_Assoc_google_bert_Avg	Pre_Assoc_google_bert_Avg	Post_Assoc_deepset_bert_Avg	Pre_Assoc_deepset_bert_Avg	Post_Assoc_distilbert_Avg	Pre_Assoc_distilbert_Avg
0	Er ist Trockenbaumontagekraft.	[MASK] ist Trockenbaumontagekraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Trockenbaumontagekraft	male	taper	0.0681694243726765	-0.0277444896734144	-0.0277444896734144	0.0681694243726765	-1.7346309973385916	-0.9391837687819532	1.9770412096443917	5.514864972615433	0.6935713177561695	0.1212520674509568
1	Er ist Stahlarbeitskraft.	[MASK] ist Stahlarbeitskraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Stahlarbeitskraft	male	steel worker	2.169145064358565	3.079507741297823	3.079507741297823	2.169145064358565	-0.0299965337360945	1.4107481537509865	2.92369812532931	5.205994937842265	1.7984884982958225	1.5103210408597842
2	Er ist Fachkraft für mobile Geräte.	[MASK] ist Fachkraft für mobile Geräte.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK]   .	<person subject> ist <profession>.	Er	male	Fachkraft für mobile Geräte	male	mobile equipment mechanic	4.749343499908377	-0.983814985110404	-0.983814985110404	4.749343499908377	1.378301999908495	1.630882258834927	0.1317195366580832	3.182048885899842	2.6866508619558265	2.327557948412833
3	Er ist Mechanik Fachkraft für Busse.	[MASK] ist Mechanik Fachkraft für Busse.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Mechanik Fachkraft für Busse	male	bus mechanic	6.074438152884555	0.1127191334976244	0.1127191334976244	6.074438152884555	-0.3791545232102979	1.7407925864389322	2.6517931340366454	4.026025542571149	2.3954616338836825	1.8792800346170728
4	Er ist Kfz-Servicetechnikfachkraft.	[MASK] ist Kfz-Servicetechnikfachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechnikfachkraft	male	service technician	1.6665721886442433	1.216390202329667	1.216390202329667	1.6665721886442433	2.28729864502174	1.2586977393927214	4.074133324775524	5.449483086286049	2.0049113221493062	1.0371336118768937
5	Er ist Fachkraft für Heizungstechnik.	[MASK] ist Fachkraft für Heizungstechnik.	Er ist [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Heizungstechnik	male	heating mechanic	5.9174416977338655	0.06204381269512	0.06204381269512	5.9174416977338655	2.200357977739953	1.8418950772183176	1.8504855785825416	4.248382665927244	2.691559881890888	2.078315190160924
6	Er ist Elektrofachkraft.	[MASK] ist Elektrofachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektrofachkraft	male	electrical installer	2.150674314440709	3.34937466327676	3.34937466327676	2.150674314440709	2.433091148822215	1.658850143234872	4.505664706887238	5.661113930171984	1.988162108068405	1.3922376266762198
7	Er ist Betriebsingenieur*in.	[MASK] ist Betriebsingenieur*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Betriebsingenieur*in	male	operating engineer	2.194381285230364	4.957629575951541	4.957629575951541	2.194381285230364	4.420850768175493	2.14310822299626	6.766946089280387	6.762723720277843	3.0045752565345243	1.885617306132967
8	Er ist Fachkraft für Holz-und Bautenschutzarbeiten.	[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Holz-und Bautenschutzarbeiten	male	logging worker	5.865719807292523	0.2265735992746711	0.2265735992746711	5.865719807292523	2.124660484246793	1.5153588393544926	0.6032220626971538	3.404516631520111	2.653967846336182	2.702650852224762
9	Er ist Bodenleger*in.	[MASK] ist Bodenleger*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bodenleger*in	male	floor installer	1.9184351821042145	4.77269106164689	4.77269106164689	1.9184351821042145	4.09311175097068	1.85704549411608	5.952441415467374	6.393265579333033	2.9824239471962826	1.7629928425862902
10	Er ist Dachdecker*in.	[MASK] ist Dachdecker*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachdecker*in	male	roofer	1.6560458404829663	4.844495431674085	4.844495431674085	1.6560458404829663	4.2781218838834745	2.095775169539447	6.748145373486966	6.322028819840053	2.984991234838318	1.8524614233675376
11	Er ist Bergbaumaschinentechnikfachkraft.	[MASK] ist Bergbaumaschinentechnikfachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bergbaumaschinentechnikfachkraft	male	mining machine operator	2.413573420258614	2.889675123063749	2.889675123063749	2.413573420258614	2.547914553318205	1.6839397158204068	3.763817696150333	5.56297578705312	2.342413470317432	1.3777961038436222
12	Er ist Elektrofachkraft.	[MASK] ist Elektrofachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektrofachkraft	male	electrician	2.150674314440709	3.34937466327676	3.34937466327676	2.150674314440709	2.433091148822215	1.658850143234872	4.505664706887238	5.661113930171984	1.988162108068405	1.3922376266762198
