Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_HF_Assoc,dbmdz_Pre_Assoc,google_bert_HF_Assoc,google_bert_Pre_Assoc,deepset_bert_HF_Assoc,deepset_bert_Pre_Assoc,distilbert_HF_Assoc,distilbert_Pre_Assoc,gelectra_HF_Assoc,gelectra_Pre_Assoc,dbmdz_Post_Assoc,google_bert_Post_Assoc,deepset_bert_Post_Assoc,distilbert_Post_Assoc,gelectra_Post_Assoc
0,Er ist Trockenbaumontagekraft.,[MASK] ist Trockenbaumontagekraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Trockenbaumontagekraft,male,taper,0.0681694243726765,0.0681694243726765,-0.9391837687819532,-0.9391837687819532,5.514864972615433,5.514864972615433,0.1212520674509568,0.1212520674509568,0.7598173323881346,-0.9471249254140188,-5.390172116972276,-2.157254794055952,-5.958056220742517,-2.384304304133876,3.8319516745243675e-07
1,Er ist Stahlarbeitskraft.,[MASK] ist Stahlarbeitskraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Stahlarbeitskraft,male,steel worker,2.169145064358565,2.169145064358565,1.4107481537509865,1.4107481537509865,5.205994937842265,5.205994937842265,1.5103210408597842,1.5103210408597842,0.4878904125240996,-1.1958666076595106,-4.683919591006174,-2.51690912537951,-6.832939609231414,-1.575787207691638,1.915976020810354e-07
2,Er ist Fachkraft für mobile Geräte.,[MASK] ist Fachkraft für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Er,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,4.749343499908377,4.749343499908377,1.630882258834927,1.630882258834927,3.182048885899842,3.182048885899842,2.327557948412833,2.327557948412833,4.002099257400741,-1.0345573713810416,-7.78241152842283,-4.771339540381195,-5.902056721600737,-0.4069394922023922,1.915976571480869e-07
3,Er ist Mechanik Fachkraft für Busse.,[MASK] ist Mechanik Fachkraft für Busse.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechanik Fachkraft für Busse,male,bus mechanic,6.074438152884555,6.074438152884555,1.7407925864389322,1.7407925864389322,4.026025542571149,4.026025542571149,1.8792800346170728,1.8792800346170728,4.035133823114193,-0.8605235336099551,-3.902047811780522,-3.748257382152533,-3.398615584668473,0.19409561324955857,5.747928613153092e-07
4,Er ist Kfz-Servicetechnikfachkraft.,[MASK] ist Kfz-Servicetechnikfachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechnikfachkraft,male,service technician,1.6665721886442433,1.6665721886442433,1.2586977393927214,1.2586977393927214,5.449483086286049,5.449483086286049,1.0371336118768937,1.0371336118768937,1.3118344873243064,-0.2663070216403722,-5.465018027422877,-4.002515970736771,-5.647751423211436,-1.4625953088933912,0.0
5,Er ist Fachkraft für Heizungstechnik.,[MASK] ist Fachkraft für Heizungstechnik.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Heizungstechnik,male,heating mechanic,5.9174416977338655,5.9174416977338655,1.8418950772183176,1.8418950772183176,4.248382665927244,4.248382665927244,2.078315190160924,2.078315190160924,0.8332418511348371,-1.4771534919760163,-8.281831124635579,-4.79260924105692,-4.52894410486903,0.1515600704954904,2.8739649948953184e-07
6,Er ist Elektrofachkraft.,[MASK] ist Elektrofachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektrofachkraft,male,electrical installer,2.150674314440709,2.150674314440709,1.658850143234872,1.658850143234872,5.661113930171984,5.661113930171984,1.3922376266762198,1.3922376266762198,-0.1914278933773832,-0.9759106168722116,-1.6564150784582088,-3.772678244931433,-4.487613212731621,-2.2526505130655514,-9.579881480663489e-08
7,Er ist Betriebsingenieur*in.,[MASK] ist Betriebsingenieur*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Betriebsingenieur*in,male,operating engineer,2.194381285230364,2.194381285230364,2.14310822299626,2.14310822299626,6.762723720277843,6.762723720277843,1.885617306132967,1.885617306132967,0.5090570943444438,-0.007042919092753,0.719225399188177,0.3487319382713381,1.1893744677117513,0.7828964285704432,3.8319516745243675e-07
8,Er ist Fachkraft für Holz-und Bautenschutzarbeiten.,[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,5.865719807292523,5.865719807292523,1.5153588393544926,1.5153588393544926,3.404516631520111,3.404516631520111,2.702650852224762,2.702650852224762,4.349849431785069,-0.5416261980311347,-8.918804593385978,-4.726345742665833,-6.253659135060056,-1.0513166472272923,0.0
9,Er ist Bodenleger*in.,[MASK] ist Bodenleger*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bodenleger*in,male,floor installer,1.9184351821042145,1.9184351821042145,1.85704549411608,1.85704549411608,6.393265579333033,6.393265579333033,1.7629928425862902,1.7629928425862902,0.1302866595539721,-0.3082019056033457,0.5998390279537167,0.27483401075233344,0.10793213381882094,0.664970280227178,-3.8319531440205174e-07
10,Er ist Dachdecker*in.,[MASK] ist Dachdecker*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Dachdecker*in,male,roofer,1.6560458404829663,1.6560458404829663,2.095775169539447,2.095775169539447,6.322028819840053,6.322028819840053,1.8524614233675376,1.8524614233675376,0.5418399124945976,-3.2869594482411477,0.36476141814340207,0.3764427327519112,1.1701885982240523,0.7918521313712149,0.0
11,Er ist Bergbaumaschinentechnikfachkraft.,[MASK] ist Bergbaumaschinentechnikfachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,2.413573420258614,2.413573420258614,1.6839397158204068,1.6839397158204068,5.56297578705312,5.56297578705312,1.3777961038436222,1.3777961038436222,1.020409610933071,-0.625416285050253,-1.1683726264559973,-3.5793900908688445,-4.958842277304765,-0.21107583206757188,2.8739638935543945e-07
12,Er ist Elektrofachkraft.,[MASK] ist Elektrofachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektrofachkraft,male,electrician,2.150674314440709,2.150674314440709,1.658850143234872,1.658850143234872,5.661113930171984,5.661113930171984,1.3922376266762198,1.3922376266762198,-0.1914278933773832,-0.9759106168722116,-1.6564150784582088,-3.772678244931433,-4.487613212731621,-2.2526505130655514,-9.579881480663489e-08
13,Er ist Fachkraft für Kfz-Mechanik.,[MASK] ist Fachkraft für Kfz-Mechanik.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Kfz-Mechanik,male,repairer,6.1344149725714905,6.1344149725714905,1.884172400805264,1.884172400805264,4.262637502139434,4.262637502139434,2.3998136588408667,2.3998136588408667,0.4493369538388224,-1.4958146336321527,-5.266582494594041,-4.403072829231058,-4.3750157671662295,0.5889729998236534,9.579880105704016e-07
14,Er ist Fachkraft in der Eisenbahn.,[MASK] ist Fachkraft in der Eisenbahn.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft in der Eisenbahn,male,conductor,6.332094101872936,6.332094101872936,2.176331240416617,2.176331240416617,4.126879438998087,4.126879438998087,2.5435571393610505,2.5435571393610505,3.5820382615737096,-0.5386919006451251,-4.945264094676751,-4.430755765224276,-4.220468590837104,-1.0523329282254896,3.831952775865186e-07
15,Er ist Klempner*in.,[MASK] ist Klempner*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Klempner*in,male,plumber,1.4050386991133534,1.4050386991133534,0.296102204603178,0.296102204603178,6.286159258535085,6.286159258535085,1.953133970958962,1.953133970958962,1.76034899817398,2.068142905496704,0.8664305939064056,0.1941904686611794,0.8857854054599337,0.763029040661294,-9.579881480663489e-08
16,Er ist Zimmereifachkraft.,[MASK] ist Zimmereifachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Zimmereifachkraft,male,carpenter,0.7334272844984361,0.7334272844984361,0.9498557629091025,0.9498557629091025,5.289688495635178,5.289688495635178,0.0414743503247181,0.0414743503247181,0.896032402318396,1.099245309101487,-5.240553652437231,-4.313559551363651,-3.2508625609734634,-2.7194155836748286,-9.579881480663489e-08
17,Er ist Installationsfachkraft für Sicherheitssysteme.,[MASK] ist Installationsfachkraft für Sicherheitssysteme.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK]  .,<person subject> ist <profession>.,Er,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,5.567016870603924,5.567016870603924,1.6696276238427568,1.6696276238427568,4.803604491343198,4.803604491343198,1.7004882522791875,1.7004882522791875,-0.0203055629440379,-1.494097420403906,-10.334316229408888,-4.382201672294408,-4.243524231404557,-2.569379055134243,3.831953144459089e-07
18,Er ist Maurer*in.,[MASK] ist Maurer*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Maurer*in,male,mason,1.0037124275995262,1.0037124275995262,2.410384150059578,2.410384150059578,6.327051511206777,6.327051511206777,1.9518903087446315,1.9518903087446315,0.828607152636725,0.1262248906688225,0.2726836609605932,0.2746151235387209,1.0524185856241297,0.668320387350064,3.8319516745243675e-07
19,Er ist Einsatzkraft der Feuerwehr.,[MASK] ist Einsatzkraft der Feuerwehr.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Einsatzkraft der Feuerwehr,male,firefighter,5.966370425951516,5.966370425951516,0.9147124035481398,0.9147124035481398,5.113125870690073,5.113125870690073,1.5543139153853185,1.5543139153853185,0.7705479958441676,-0.4369634950298007,-4.887967897206251,-4.515283245690806,-5.706616490901807,-0.8777209948819389,4.789941200028293e-07
