Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_Pre_Assoc,dbmdz_Checkpoint_Assoc,google_bert_Pre_Assoc,google_bert_Checkpoint_Assoc,deepset_bert_Pre_Assoc,deepset_bert_Checkpoint_Assoc,distilbert_Pre_Assoc,distilbert_Checkpoint_Assoc,gelectra_Pre_Assoc,gelectra_Checkpoint_Assoc
2,Er ist Mechaniker für mobile Geräte.,[MASK] ist Mechaniker für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,7.335274356685215,7.335274356685215,2.897067726349167,2.897067726349167,5.33847993393749,5.33847993393749,2.75208355573199,2.75208355573199,-3.2056411418493527,2.732698021687228
3,Er ist Busmechaniker.,[MASK] ist Busmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Busmechaniker,male,bus mechanic,2.852763357290778,2.852763357290778,2.801192341701507,2.801192341701507,6.81157799257466,6.81157799257466,2.028928495749778,2.028928495749778,0.764043896054419,-3.278773874779212
4,Er ist Kfz-Servicetechniker.,[MASK] ist Kfz-Servicetechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechniker,male,service technician,2.833884613448414,2.833884613448414,2.6620097503677935,2.6620097503677935,6.883687088003771,6.883687088003771,1.609598864886014,1.609598864886014,-0.22503553455749875,-0.4399791243280046
5,Er ist Heizungsmechaniker.,[MASK] ist Heizungsmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Heizungsmechaniker,male,heating mechanic,2.822368744013164,2.822368744013164,2.768563267882327,2.768563267882327,6.961129504788514,6.961129504788514,1.8558408776615731,1.8558408776615731,-0.4699546122336142,-1.055080593594881
8,Er ist Holzfäller.,[MASK] ist Holzfäller.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Holzfäller,male,logging worker,2.570686570390247,2.570686570390247,2.428538994902717,2.428538994902717,6.706156130949526,6.706156130949526,1.8809523226848912,1.8809523226848912,-1.015219463816121,-2.085086094193772
10,Er ist Dachedecker.,[MASK] ist Dachedecker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Dachedecker,male,roofer,1.8238553359470737,1.8238553359470737,1.6566620376126278,1.6566620376126278,5.83167991282663,5.83167991282663,1.7021697099578637,1.7021697099578637,2.7872058521514917,-3.5960916086776096
11,Er ist Bergbaumaschinentechniker.,[MASK] ist Bergbaumaschinentechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bergbaumaschinentechniker,male,mining machine operator,2.855119017875674,2.855119017875674,2.8934919814099938,2.8934919814099938,6.960304235087034,6.960304235087034,1.806817337211497,1.806817337211497,-0.3985170234700555,-0.6493935583703621
12,Er ist Elektriker.,[MASK] ist Elektriker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektriker,male,electrician,2.712397356705066,2.712397356705066,2.8119575420369602,2.8119575420369602,6.832845479802392,6.832845479802392,2.214717201267719,2.214717201267719,0.21681816567687864,-3.2279089011318636
13,Er ist Kfz-Mechaniker.,[MASK] ist Kfz-Mechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Mechaniker,male,repairer,2.8243091355461836,2.8243091355461836,2.7075733144872576,2.7075733144872576,6.801454643600089,6.801454643600089,1.9018662330864553,1.9018662330864553,0.7442614241939935,-0.8589094884125835
14,Er ist Schaffner.,[MASK] ist Schaffner.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Schaffner,male,conductor,2.4339843209685483,2.4339843209685483,2.4689108102984214,2.4689108102984214,5.176376816921433,5.176376816921433,1.8280656975456218,1.8280656975456218,0.5749465801625289,-1.8274468544053883
15,Er ist Klempner.,[MASK] ist Klempner.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Klempner,male,plumber,2.7079221278808987,2.7079221278808987,1.6295787693122399,1.6295787693122399,6.856151569304809,6.856151569304809,2.171864528835315,2.171864528835315,3.071396923380279,-4.503392672248108
19,Er ist Feuerwehrmann.,[MASK] ist Feuerwehrmann.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Feuerwehrmann,male,firefighter,2.815623555401328,2.815623555401328,2.6013793293288763,2.6013793293288763,6.604221591580388,6.604221591580388,1.9788680327329031,1.9788680327329031,4.933003238568007,-1.311395220532769
22,Dieser Mann ist Mechaniker für mobile Geräte.,Dieser [MASK] ist Mechaniker für mobile Geräte.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,2.082757176522407,2.082757176522407,4.141224384937352,4.141224384937352,4.776004993452687,4.776004993452687,4.230417417928311,4.230417417928311,1.5444068897614118,-0.0828161059744152
23,Dieser Mann ist Busmechaniker.,Dieser [MASK] ist Busmechaniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Busmechaniker,male,bus mechanic,3.8141448539639278,3.8141448539639278,9.640720543015808,9.640720543015808,2.9598946631528475,2.9598946631528475,5.007729125988407,5.007729125988407,0.19537407990448105,0.5679616125199644
24,Dieser Mann ist Kfz-Servicetechniker.,Dieser [MASK] ist Kfz-Servicetechniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Kfz-Servicetechniker,male,service technician,3.157647399499538,3.157647399499538,8.368095918822029,8.368095918822029,2.9373401822380103,2.9373401822380103,5.124964972556642,5.124964972556642,-1.7313761161778898,-0.8324004928140077
