with which function????

Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Pre_Assoc	Post_Assoc
0	He is a taper.	[MASK] is a taper.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	taper	male	-4.876234164608103	-4.4938922198629685
1	He is a steel worker.	[MASK] is a steel worker.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	steel worker	male	-0.10886029470883075	-0.691277161002213
2	He is a mobile equipment mechanic.	[MASK] is a mobile equipment mechanic.	He is a [MASK] [MASK] [MASK].	[MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	He	male	mobile equipment mechanic	male	2.8536272657242217	2.028312661511296
3	He is a bus mechanic.	[MASK] is a bus mechanic.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	bus mechanic	male	0.22372881098949549	0.28644043912844264
4	He is a service technician.	[MASK] is a service technician.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	service technician	male	0.19300492917465614	0.20691154976470505
5	He is a heating mechanic.	[MASK] is a heating mechanic.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	heating mechanic	male	0.18471380287035113	0.29938183623078957
6	He is a electrical installer.	[MASK] is a electrical installer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	electrical installer	male	-2.3975346770027155	-1.3124367097087155
7	He is a operating engineer.	[MASK] is a operating engineer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	operating engineer	male	0.3404120928891325	0.545009419262786
8	He is a logging worker.	[MASK] is a logging worker.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	logging worker	male	0.07029120580281614	-0.23507772181641218
9	He is a floor installer.	[MASK] is a floor installer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	floor installer	male	-1.1600932269077326	-0.5320508725923186
