Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc	Post_Assoc_Avg	Post_Assoc_dbmdz_Avg	Pre_Assoc_dbmdz_Avg	Post_Assoc_google_bert_Avg	Pre_Assoc_google_bert_Avg	Post_Assoc_deepset_bert_Avg	Pre_Assoc_deepset_bert_Avg	Post_Assoc_distilbert_Avg	Pre_Assoc_distilbert_Avg
0	Er ist Trockenbaumontagekraft.	[MASK] ist Trockenbaumontagekraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Trockenbaumontagekraft	male	taper	0.0681694243726765	3.3069536408609683	3.3069536408609683	0.0681694243726765	-0.6083022674855574	-0.9391837687819532	4.371585992378668	5.514864972615433	1.5173115286069607	0.1212520674509568
1	Er ist Stahlarbeitskraft.	[MASK] ist Stahlarbeitskraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Stahlarbeitskraft	male	steel worker	2.169145064358565	4.750774204197676	4.750774204197676	2.169145064358565	1.6858567504237012	1.4107481537509865	4.228009945335871	5.205994937842265	3.027380968829374	1.5103210408597842
2	Er ist Fachkraft für mobile Geräte.	[MASK] ist Fachkraft für mobile Geräte.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK]   .	<person subject> ist <profession>.	Er	male	Fachkraft für mobile Geräte	male	mobile equipment mechanic	4.749343499908377	1.6441468229359613	1.6441468229359613	4.749343499908377	0.2539601762726006	1.630882258834927	1.2066420688227022	3.182048885899842	3.114848780766984	2.327557948412833
3	Er ist Mechanik Fachkraft für Busse.	[MASK] ist Mechanik Fachkraft für Busse.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Mechanik Fachkraft für Busse	male	bus mechanic	6.074438152884555	2.762370526514642	2.762370526514642	6.074438152884555	0.6913388426593374	1.7407925864389322	3.126890158503161	4.026025542571149	3.0205692760603107	1.8792800346170728
4	Er ist Kfz-Servicetechnikfachkraft.	[MASK] ist Kfz-Servicetechnikfachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Servicetechnikfachkraft	male	service technician	1.6665721886442433	3.070636434844286	3.070636434844286	1.6665721886442433	0.7300549551777493	1.2586977393927214	4.228549047817002	5.449483086286049	3.0351731570612586	1.0371336118768937
5	Er ist Fachkraft für Heizungstechnik.	[MASK] ist Fachkraft für Heizungstechnik.	Er ist [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Heizungstechnik	male	heating mechanic	5.9174416977338655	3.0692271648656133	3.0692271648656133	5.9174416977338655	1.08559358409004	1.8418950772183176	2.570915241627541	4.248382665927244	3.2306397589415203	2.078315190160924
6	Er ist Elektrofachkraft.	[MASK] ist Elektrofachkraft.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektrofachkraft	male	electrical installer	2.150674314440709	4.115860617699577	4.115860617699577	2.150674314440709	0.7103094005594879	1.658850143234872	4.674810047941442	5.661113930171984	2.743054842753722	1.3922376266762198
7	Er ist Betriebsingenieur*in.	[MASK] ist Betriebsingenieur*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Betriebsingenieur*in	male	operating engineer	2.194381285230364	5.070435722630359	5.070435722630359	2.194381285230364	4.136636097414671	2.14310822299626	5.440776691836075	6.762723720277843	4.003599527101242	1.885617306132967
8	Er ist Fachkraft für Holz-und Bautenschutzarbeiten.	[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.	Er ist [MASK] [MASK] [MASK] [MASK].	[MASK] ist [MASK] [MASK] [MASK] [MASK].	<person subject> ist <profession>.	Er	male	Fachkraft für Holz-und Bautenschutzarbeiten	male	logging worker	5.865719807292523	2.5329310280482606	2.5329310280482606	5.865719807292523	0.597874683138792	1.5153588393544926	1.1650215955118572	3.404516631520111	3.1626541655764338	2.702650852224762
9	Er ist Bodenleger*in.	[MASK] ist Bodenleger*in.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bodenleger*in	male	floor installer	1.9184351821042145	4.608441380592957	4.608441380592957	1.9184351821042145	2.9898871193280527	1.85704549411608	5.072424839886514	6.393265579333033	3.949511721497254	1.7629928425862902
